MS4525_Raw_P,MS4525_Raw_T,SHT30_1_Raw_T,SHT30_1_Raw_H,SHT30_2_Raw_T,SHT30_2_Raw_H,DS18B20_Temps,Timestamp
8196,742,None,None,None,None,None,1764879213.0363815
None,None,24857,35869,24887,35906,None,1764879213.0365717
8193,742,None,None,None,None,None,1764879213.136815
None,None,24862,35894,24887,35923,None,1764879213.1369677
8193,742,None,None,None,None,None,1764879213.2371397
None,None,24857,35878,24892,35908,None,1764879213.2372987
8193,742,None,None,None,None,None,1764879213.337474
None,None,24872,35881,24902,35918,None,1764879213.3376384
8193,742,None,None,None,None,None,1764879213.4378538
None,None,24862,35887,24892,35882,None,1764879213.4379072
8196,742,None,None,None,None,None,1764879213.5380764
None,None,24867,35879,24897,35909,None,1764879213.5382428
8193,742,None,None,None,None,None,1764879213.638562
None,None,24867,35896,24897,35917,None,1764879213.6386304
8193,742,None,None,None,None,None,1764879213.7390327
None,None,24867,35918,24902,35935,None,1764879213.7391007
8193,742,None,None,None,None,None,1764879213.8394773
None,None,24862,35887,24897,35926,None,1764879213.8395498
8193,742,None,None,None,None,None,1764879213.9396996
None,None,24872,35881,24902,35935,None,1764879213.9397507
8192,742,None,None,None,None,None,1764879214.0400882
None,None,24867,35896,24897,35926,None,1764879214.0401597
8192,742,None,None,None,None,None,1764879214.1405768
None,None,24867,35872,24902,35927,None,1764879214.1406472
8192,742,None,None,None,None,None,1764879214.2410643
None,None,24862,35902,24897,35941,None,1764879214.241128
8192,742,None,None,None,None,None,1764879214.3415484
None,None,24878,35882,24897,35926,None,1764879214.341605
8193,742,None,None,None,None,None,1764879214.4419384
None,None,24862,35887,24897,35909,None,1764879214.4420106
8193,742,None,None,None,None,None,1764879214.5424135
None,None,24872,35897,24902,35903,None,1764879214.5424821
8192,742,None,None,None,None,None,1764879214.6429658
None,None,24872,35897,24902,35911,None,1764879214.6430442
8192,742,None,None,None,None,None,1764879214.7433677
None,None,24867,35903,24897,35917,None,1764879214.743422
8192,742,None,None,None,None,None,1764879214.8437362
None,None,24872,35873,24902,35918,None,1764879214.8438065
8192,742,None,None,None,None,None,1764879214.9442267
None,None,24867,35888,24902,35878,None,1764879214.9444342
8192,742,None,None,None,None,None,1764879215.0447512
None,None,24872,35890,24902,35935,None,1764879215.0449653
8192,742,None,None,None,None,None,1764879215.1452265
None,None,24878,35899,24908,35929,None,1764879215.145473
8192,742,None,None,None,None,None,1764879215.2459707
None,None,24867,35879,24908,35962,None,1764879215.2460387
8192,742,None,None,None,None,None,1764879215.3487504
None,None,24872,35905,24913,35914,None,1764879215.3488069
None,None,None,None,None,None,"[21.5625, 21.1875, 21.5625]",1764879215.34883
8192,742,None,None,None,None,None,1764879215.4491334
None,None,24872,35890,24902,35918,None,1764879215.4492016
8192,742,None,None,None,None,None,1764879215.5494714
None,None,24878,35891,24902,35894,None,1764879215.5495439
8192,742,None,None,None,None,None,1764879215.6497245
None,None,24883,35884,24908,35929,None,1764879215.6500003
8192,742,None,None,None,None,None,1764879215.750247
None,None,24878,35875,24908,35920,None,1764879215.7504222
8192,742,None,None,None,None,None,1764879215.8505936
None,None,24883,35876,24902,35911,None,1764879215.8507347
8192,742,None,None,None,None,None,1764879215.9508917
None,None,24872,35858,24908,35920,None,1764879215.9510472
8192,742,None,None,None,None,None,1764879216.051279
None,None,24878,35882,24902,35894,None,1764879216.0514371
8190,742,None,None,None,None,None,1764879216.1516612
None,None,24878,35899,24923,35933,None,1764879216.1517122
8192,742,None,None,None,None,None,1764879216.2520041
None,None,24883,35900,24908,35905,None,1764879216.252068
8192,742,None,None,None,None,None,1764879216.3524768
None,None,24883,35876,24913,35873,None,1764879216.352549
8190,742,None,None,None,None,None,1764879216.4529433
None,None,24872,35866,24902,35918,None,1764879216.4530122
8192,742,None,None,None,None,None,1764879216.553411
None,None,24867,35888,24913,35906,None,1764879216.5534782
8193,742,None,None,None,None,None,1764879216.6538582
None,None,24872,35858,24902,35911,None,1764879216.6539097
8192,742,None,None,None,None,None,1764879216.7541854
None,None,24872,35897,24908,35920,None,1764879216.7543314
8192,742,None,None,None,None,None,1764879216.8547451
None,None,24878,35906,24913,35906,None,1764879216.854816
8192,742,None,None,None,None,None,1764879216.9552603
None,None,24883,35893,24913,35945,None,1764879216.955336
8190,742,None,None,None,None,None,1764879217.0557148
None,None,24878,35845,24902,35935,None,1764879217.0557816
8192,742,None,None,None,None,None,1764879217.1561468
None,None,24883,35876,24908,35905,None,1764879217.156199
8193,742,None,None,None,None,None,1764879217.2568343
None,None,24872,35881,24913,35906,None,1764879217.257025
8193,742,None,None,None,None,None,1764879217.3572814
None,None,24878,35891,24913,35906,None,1764879217.3574502
8192,742,None,None,None,None,None,1764879217.4576297
None,None,24883,35869,24908,35920,None,1764879217.4577882
8192,742,None,None,None,None,None,1764879217.5580091
None,None,24867,35864,24913,35938,None,1764879217.5581765
8192,742,None,None,None,None,None,1764879217.658404
None,None,24878,35860,24902,35918,None,1764879217.6585627
8193,742,None,None,None,None,None,1764879217.7587874
None,None,24872,35858,24913,35906,None,1764879217.758937
8192,742,None,None,None,None,None,1764879217.8607132
None,None,24883,35908,24908,35887,None,1764879217.8607838
8190,742,None,None,None,None,None,1764879217.960952
None,None,24872,35881,24902,35911,None,1764879217.9611292
None,None,None,None,None,None,"[21.5625, 21.1875, 21.5625]",1764879217.9611738
8192,742,None,None,None,None,None,1764879218.0614038
None,None,24883,35900,24908,35912,None,1764879218.0615656
8192,742,None,None,None,None,None,1764879218.1618006
None,None,24878,35867,24918,35890,None,1764879218.161969
8190,742,None,None,None,None,None,1764879218.262195
None,None,24878,35867,24908,35936,None,1764879218.262349
8190,742,None,None,None,None,None,1764879218.3625772
None,None,24878,35882,24908,35905,None,1764879218.362743
8192,742,None,None,None,None,None,1764879218.4629
None,None,24872,35873,24918,35947,None,1764879218.4629486
8192,742,None,None,None,None,None,1764879218.563113
None,None,24878,35867,24918,35899,None,1764879218.5632749
8192,742,None,None,None,None,None,1764879218.6647449
None,None,24872,35881,24913,35914,None,1764879218.6649075
8190,742,None,None,None,None,None,1764879218.7650578
None,None,24878,35875,24902,35918,None,1764879218.7651145
8188,742,None,None,None,None,None,1764879218.865262
None,None,24878,35882,24908,35905,None,1764879218.8654308
8192,742,None,None,None,None,None,1764879218.9656057
None,None,24872,35897,24913,35914,None,1764879218.9657614
8193,742,None,None,None,None,None,1764879219.0659688
None,None,24878,35860,24908,35897,None,1764879219.0661273
8192,742,None,None,None,None,None,1764879219.1663468
None,None,24878,35882,24913,35921,None,1764879219.1665082
8193,742,None,None,None,None,None,1764879219.2667074
None,None,24878,35852,24908,35905,None,1764879219.266755
8192,742,None,None,None,None,None,1764879219.367064
None,None,24878,35882,24913,35914,None,1764879219.367133
8193,742,None,None,None,None,None,1764879219.467518
None,None,24883,35869,24908,35897,None,1764879219.4675848
8193,742,None,None,None,None,None,1764879219.5680017
None,None,24878,35867,24908,35897,None,1764879219.5680711
8192,742,None,None,None,None,None,1764879219.668399
None,None,24883,35884,24918,35882,None,1764879219.668472
8192,742,None,None,None,None,None,1764879219.7687385
None,None,24878,35882,24913,35906,None,1764879219.7689023
8192,742,None,None,None,None,None,1764879219.8690488
None,None,24888,35885,24913,35897,None,1764879219.8690972
