MS4525_Raw_P,MS4525_Raw_T,SHT30_1_Raw_T,SHT30_1_Raw_H,SHT30_2_Raw_T,SHT30_2_Raw_H,DS18B20_Temps,Timestamp
8178,791,25178,33472,25182,33470,"[22.1875, 21.8125, 22.25]",1764792848.3671906
8179,791,25178,33481,25187,33481,"[22.25, 21.875, 22.25]",1764792850.7669632
8180,791,25178,33439,25187,33454,"[22.25, 21.875, 22.25]",1764792853.2631404
8180,791,25183,33466,25187,33472,"[22.25, 21.875, 22.25]",1764792855.66321
8179,791,25173,33488,25187,33463,"[22.25, 21.875, 22.3125]",1764792858.0632293
8180,791,25188,33466,25182,33443,"[22.25, 21.875, 22.3125]",1764792860.463187
