MS4525_Raw_P,MS4525_Raw_T,SHT30_1_Raw_T,SHT30_1_Raw_H,SHT30_2_Raw_T,SHT30_2_Raw_H,DS18B20_Temps,FL808_Flow_Rate_LPM,Timestamp
8190,742,None,None,None,None,None,None,1764879894.124085
None,None,24904,35689,24939,35735,None,None,1764879894.1242378
8192,742,None,None,None,None,None,None,1764879894.2245934
None,None,24904,35696,24934,35749,None,None,1764879894.2247515
8192,742,None,None,None,None,None,None,1764879894.3251016
None,None,24904,35674,24934,35758,None,None,1764879894.3252523
8192,741,None,None,None,None,None,None,1764879894.425602
None,None,24904,35713,24939,35750,None,None,1764879894.425755
8192,741,None,None,None,None,None,None,1764879894.5261118
None,None,24904,35713,24929,35756,None,None,1764879894.5262663
8192,741,None,None,None,None,None,None,1764879894.6266165
None,None,24899,35687,24934,35734,None,None,1764879894.6266744
8192,742,None,None,None,None,None,None,1764879894.7269459
None,None,24904,35689,24939,35767,None,None,1764879894.7270968
8193,742,None,None,None,None,None,None,1764879894.827461
None,None,24899,35695,24934,35716,None,None,1764879894.8276181
8193,742,None,None,None,None,None,None,1764879894.9279523
None,None,24899,35695,24934,35765,None,None,1764879894.9281058
8196,742,None,None,None,None,None,None,1764879895.0284872
None,None,24904,35713,24944,35744,None,None,1764879895.028635
8193,742,None,None,None,None,None,None,1764879895.128931
None,None,24914,35707,24939,35750,None,None,1764879895.1289835
8192,742,None,None,None,None,None,None,1764879895.2293272
None,None,24899,35719,24939,35726,None,None,1764879895.2295294
8192,741,None,None,None,None,None,None,1764879895.3299813
None,None,24899,35695,24934,35734,None,None,1764879895.3301902
8192,741,None,None,None,None,None,None,1764879895.4306395
None,None,24904,35665,24934,35749,None,None,1764879895.430712
8192,741,None,None,None,None,None,None,1764879895.53105
None,None,24904,35681,24939,35743,None,None,1764879895.5312572
8192,741,None,None,None,None,None,None,1764879895.6318161
None,None,24899,35702,24939,35750,None,None,1764879895.6320317
8193,741,None,None,None,None,None,None,1764879895.7324789
None,None,24909,35713,24929,35732,None,None,1764879895.732703
8192,742,None,None,None,None,None,None,1764879895.8330317
None,None,24899,35702,24944,35737,None,None,1764879895.8330965
8193,742,None,None,None,None,None,None,1764879895.9332922
None,None,24909,35698,24934,35741,None,None,1764879895.9334989
8193,741,None,None,None,None,None,None,1764879896.0337915
None,None,24904,35696,24944,35726,None,None,1764879896.0340033
8193,741,None,None,None,None,None,None,1764879896.1345396
None,None,24909,35713,24939,35750,None,None,1764879896.1346433
8193,741,None,None,None,None,None,None,1764879896.2348602
None,None,24904,35696,24939,35743,None,None,1764879896.2349246
8193,741,None,None,None,None,None,None,1764879896.3352592
None,None,24904,35713,24934,35725,None,None,1764879896.3354511
None,None,None,None,None,None,"([21.8125, 21.1875, 22.0625], ['0725803e0940', '0725802957ca', '072580357fff'])",None,1764879896.33559
8192,741,None,None,None,None,None,None,1764879896.4361079
None,None,24899,35680,24934,35725,None,None,1764879896.4363
8193,742,None,None,None,None,None,None,1764879896.5368557
None,None,24904,35674,24929,35740,None,None,1764879896.5371335
8193,742,None,None,None,None,None,None,1764879896.6374834
None,None,24909,35698,24939,35743,None,None,1764879896.6375473
8193,741,None,None,None,None,None,None,1764879896.7379005
None,None,24904,35713,24929,35716,None,None,1764879896.7381046
8192,741,None,None,None,None,None,None,1764879896.838556
None,None,24904,35704,24944,35744,None,None,1764879896.8387623
8192,742,None,None,None,None,None,None,1764879896.9392338
None,None,24904,35696,24934,35725,None,None,1764879896.9394357
8196,742,None,None,None,None,None,None,1764879897.0397182
None,None,24904,35674,24939,35750,None,None,1764879897.0397842
8193,742,None,None,None,None,None,None,1764879897.1401613
None,None,24904,35689,24939,35735,None,None,1764879897.1403599
8193,742,None,None,None,None,None,None,1764879897.2408204
None,None,24909,35666,24939,35750,None,None,1764879897.2409105
8190,742,None,None,None,None,None,None,1764879897.3413672
None,None,24909,35698,24939,35774,None,None,1764879897.3415763
8192,741,None,None,None,None,None,None,1764879897.4418824
None,None,24909,35713,24944,35719,None,None,1764879897.4419525
8193,741,None,None,None,None,None,None,1764879897.542324
None,None,24904,35689,24939,35750,None,None,1764879897.5424192
8193,742,None,None,None,None,None,None,1764879897.6429226
None,None,24904,35674,24939,35759,None,None,1764879897.643017
8192,742,None,None,None,None,None,None,1764879897.743499
None,None,24909,35698,24939,35743,None,None,1764879897.7437057
8192,742,None,None,None,None,None,None,1764879897.844
None,None,24904,35665,24934,35758,None,None,1764879897.8440678
8193,742,None,None,None,None,None,None,1764879897.9444506
None,None,24909,35690,24939,35735,None,None,1764879897.944652
8193,742,None,None,None,None,None,None,1764879898.0450985
None,None,24904,35713,24944,35737,None,None,1764879898.0452921
8193,742,None,None,None,None,None,None,1764879898.145742
None,None,24899,35702,24939,35726,None,None,1764879898.1459444
8192,742,None,None,None,None,None,None,1764879898.2462215
None,None,24904,35689,24934,35716,None,None,1764879898.246287
8190,742,None,None,None,None,None,None,1764879898.3466423
None,None,24904,35696,24939,35743,None,None,1764879898.3468473
8192,742,None,None,None,None,None,None,1764879898.4472892
None,None,24899,35687,24939,35750,None,None,1764879898.4474955
8193,742,None,None,None,None,None,None,1764879898.5480034
None,None,24914,35692,24944,35744,None,None,1764879898.548098
8192,742,None,None,None,None,None,None,1764879898.6484003
None,None,24914,35668,24944,35744,None,None,1764879898.648463
8192,742,None,None,None,None,None,None,1764879898.7488496
None,None,24904,35704,24939,35743,None,None,1764879898.7489414
None,None,None,None,None,None,"([21.875, 21.25, 22.0625], ['0725803e0940', '0725802957ca', '072580357fff'])",None,1764879898.749106
8192,742,None,None,None,None,None,None,1764879898.8496096
None,None,24909,35690,24934,35758,None,None,1764879898.8498092
8192,742,None,None,None,None,None,None,1764879898.9502447
None,None,24909,35690,24950,35738,None,None,1764879898.9504528
8193,742,None,None,None,None,None,None,1764879899.0509098
None,None,24904,35665,24939,35750,None,None,1764879899.0509806
8192,742,None,None,None,None,None,None,1764879899.1513255
None,None,24899,35711,24944,35737,None,None,1764879899.1515362
8192,742,None,None,None,None,None,None,1764879899.2519915
None,None,24899,35687,24939,35702,None,None,1764879899.2521992
8193,742,None,None,None,None,None,None,1764879899.3526516
None,None,24909,35705,24939,35743,None,None,1764879899.3528678
8192,742,None,None,None,None,None,None,1764879899.4533594
None,None,24904,35665,24939,35767,None,None,1764879899.4535646
8192,742,None,None,None,None,None,None,1764879899.5538485
None,None,24904,35665,24944,35711,None,None,1764879899.5539126
8192,742,None,None,None,None,None,None,1764879899.6542814
None,None,24904,35674,24934,35725,None,None,1764879899.6544704
8192,742,None,None,None,None,None,None,1764879899.7549145
None,None,24904,35696,24939,35743,None,None,1764879899.7551224
8196,742,None,None,None,None,None,None,1764879899.855558
None,None,24904,35689,24939,35726,None,None,1764879899.8557646
8193,742,None,None,None,None,None,None,1764879899.9560847
None,None,24899,35665,24939,35735,None,None,1764879899.956149
8193,742,None,None,None,None,None,None,1764879900.0564919
None,None,24904,35704,24944,35737,None,None,1764879900.0567904
8192,742,None,None,None,None,None,None,1764879900.1572866
None,None,24904,35689,24939,35743,None,None,1764879900.1574967
8192,742,None,None,None,None,None,None,1764879900.2579377
None,None,24914,35714,24944,35752,None,None,1764879900.2581377
8192,742,None,None,None,None,None,None,1764879900.3584468
None,None,24909,35698,24955,35755,None,None,1764879900.3585105
8193,742,None,None,None,None,None,None,1764879900.458866
None,None,24904,35689,24950,35713,None,None,1764879900.4590664
8193,742,None,None,None,None,None,None,1764879900.5595188
None,None,24904,35689,24939,35750,None,None,1764879900.5597196
8193,742,None,None,None,None,None,None,1764879900.660251
None,None,24914,35692,24939,35767,None,None,1764879900.6603527
8193,742,None,None,None,None,None,None,1764879900.760545
None,None,24909,35675,24934,35725,None,None,1764879900.7606122
8193,742,None,None,None,None,None,None,1764879900.860942
None,None,24904,35665,24939,35750,None,None,1764879900.8611138
8196,742,None,None,None,None,None,None,1764879900.9615502
None,None,24909,35690,24944,35752,None,None,1764879900.9617047
8193,742,None,None,None,None,None,None,1764879901.0621164
None,None,24904,35689,24939,35726,None,None,1764879901.0622854
8193,742,None,None,None,None,None,None,1764879901.1626074
None,None,24904,35689,24939,35743,None,None,1764879901.162672
None,None,None,None,None,None,"([21.875, 21.25, 22.0625], ['0725803e0940', '0725802957ca', '072580357fff'])",None,1764879901.1627078
8196,742,None,None,None,None,None,None,1764879901.2631106
None,None,24909,35653,24939,35735,None,None,1764879901.2631974
8192,742,None,None,None,None,None,None,1764879901.3634548
None,None,24909,35698,24944,35737,None,None,1764879901.363519
8192,742,None,None,None,None,None,None,1764879901.463851
None,None,24904,35696,24944,35726,None,None,1764879901.46402
8192,742,None,None,None,None,None,None,1764879901.564456
None,None,24909,35675,24944,35711,None,None,1764879901.5646186
8193,742,None,None,None,None,None,None,1764879901.665062
None,None,24904,35681,24950,35720,None,None,1764879901.6652324
8192,742,None,None,None,None,None,None,1764879901.765486
None,None,24914,35707,24939,35750,None,None,1764879901.7655501
8196,742,None,None,None,None,None,None,1764879901.8658917
None,None,24909,35698,24939,35759,None,None,1764879901.8660612
8193,742,None,None,None,None,None,None,1764879901.9664836
None,None,24909,35683,24939,35726,None,None,1764879901.9665735
8193,742,None,None,None,None,None,None,1764879902.0670047
None,None,24904,35681,24939,35743,None,None,1764879902.067167
8192,742,None,None,None,None,None,None,1764879902.1674438
None,None,24909,35690,24939,35735,None,None,1764879902.167506
8192,742,None,None,None,None,None,None,1764879902.2678463
None,None,24909,35713,24944,35726,None,None,1764879902.2680082
8192,742,None,None,None,None,None,None,1764879902.3684456
None,None,24904,35659,24934,35741,None,None,1764879902.3686013
8192,742,None,None,None,None,None,None,1764879902.4690378
None,None,24904,35696,24944,35719,None,None,1764879902.4692073
8192,742,None,None,None,None,None,None,1764879902.5697365
None,None,24904,35696,24939,35717,None,None,1764879902.569973
8193,742,None,None,None,None,None,None,1764879902.6703806
None,None,24909,35660,24939,35726,None,None,1764879902.670548
8196,742,None,None,None,None,None,None,1764879902.7708058
None,None,24909,35660,24939,35735,None,None,1764879902.7708666
8196,742,None,None,None,None,None,None,1764879902.871192
None,None,24914,35692,24939,35686,None,None,1764879902.871339
8193,742,None,None,None,None,None,None,1764879902.9717557
None,None,24899,35657,24955,35740,None,None,1764879902.9718463
8193,742,None,None,None,None,None,None,1764879903.0722651
None,None,24904,35665,24944,35719,None,None,1764879903.0724165
8193,742,None,None,None,None,None,None,1764879903.1727667
None,None,24909,35675,24939,35735,None,None,1764879903.1728563
8193,742,None,None,None,None,None,None,1764879903.2731164
None,None,24904,35689,24944,35719,None,None,1764879903.2731793
8193,742,None,None,None,None,None,None,1764879903.3735063
None,None,24904,35681,24944,35737,None,None,1764879903.3735988
8193,742,None,None,None,None,None,None,1764879903.4741318
None,None,24909,35683,24944,35744,None,None,1764879903.474228
8193,742,None,None,None,None,None,None,1764879903.5745604
None,None,24904,35704,24939,35774,None,None,1764879903.5746555
None,None,None,None,None,None,"([21.875, 21.25, 22.125], ['0725803e0940', '0725802957ca', '072580357fff'])",None,1764879903.5747108
8196,742,None,None,None,None,None,None,1764879903.6749039
None,None,24899,35680,24950,35746,None,None,1764879903.6749582
8193,742,None,None,None,None,None,None,1764879903.775156
None,None,24909,35683,24939,35710,None,None,1764879903.7752504
8193,742,None,None,None,None,None,None,1764879903.8754673
None,None,24909,35683,24939,35735,None,None,1764879903.8755577
8192,742,None,None,None,None,None,None,1764879903.975776
None,None,24914,35654,24950,35720,None,None,1764879903.9758704
8196,742,None,None,None,None,None,None,1764879904.0760632
None,None,24904,35681,24944,35761,None,None,1764879904.0761254
8196,742,None,None,None,None,None,None,1764879904.1763308
None,None,24909,35653,24944,35761,None,None,1764879904.1764243
8192,742,None,None,None,None,None,None,1764879904.2766457
None,None,24909,35660,24934,35741,None,None,1764879904.2768865
8193,742,None,None,None,None,None,None,1764879904.3771644
None,None,24909,35645,24944,35737,None,None,1764879904.377371
8192,742,None,None,None,None,None,None,1764879904.4775743
None,None,24909,35683,24950,35753,None,None,1764879904.477774
8196,742,None,None,None,None,None,None,1764879904.5779738
None,None,24909,35675,24939,35717,None,None,1764879904.5780368
8196,742,None,None,None,None,None,None,1764879904.6782382
None,None,24914,35684,24944,35737,None,None,1764879904.6784453
8192,742,None,None,None,None,None,None,1764879904.7786655
None,None,24909,35660,24950,35720,None,None,1764879904.778878
8192,742,None,None,None,None,None,None,1764879904.879099
None,None,24909,35690,24950,35729,None,None,1764879904.8793051
8192,742,None,None,None,None,None,None,1764879904.9797084
None,None,24909,35653,24939,35750,None,None,1764879904.979923
8192,742,None,None,None,None,None,None,1764879905.080128
None,None,24904,35674,24944,35711,None,None,1764879905.0803347
8192,742,None,None,None,None,None,None,1764879905.1805313
None,None,24909,35713,24939,35750,None,None,1764879905.180595
8192,742,None,None,None,None,None,None,1764879905.2807877
None,None,24909,35675,24944,35719,None,None,1764879905.2808573
8192,742,None,None,None,None,None,None,1764879905.3810651
None,None,24914,35662,24939,35717,None,None,1764879905.3812568
8193,742,None,None,None,None,None,None,1764879905.4815178
None,None,24909,35690,24939,35726,None,None,1764879905.4817057
8193,742,None,None,None,None,None,None,1764879905.5819786
None,None,24899,35695,24944,35752,None,None,1764879905.5821614
8193,742,None,None,None,None,None,None,1764879905.682423
None,None,24904,35665,24944,35726,None,None,1764879905.6826086
8192,742,None,None,None,None,None,None,1764879905.7828496
None,None,24914,35647,24944,35711,None,None,1764879905.782908
8196,742,None,None,None,None,None,None,1764879905.8831677
None,None,24909,35683,24939,35726,None,None,1764879905.8832293
8193,742,None,None,None,None,None,None,1764879905.9834087
None,None,24914,35684,24944,35761,None,None,1764879905.9835973
8193,742,None,None,None,None,None,None,1764879906.0839093
None,None,24914,35668,24939,35717,None,None,1764879906.0841064
None,None,None,None,None,None,"([21.875, 21.25, 22.0625], ['0725803e0940', '0725802957ca', '072580357fff'])",None,1764879906.084262
8192,742,None,None,None,None,None,None,1764879906.1845472
None,None,24904,35659,24944,35711,None,None,1764879906.184612
8192,742,None,None,None,None,None,None,1764879906.2848294
None,None,24914,35684,24950,35738,None,None,1764879906.2850285
8196,742,None,None,None,None,None,None,1764879906.3853385
None,None,24909,35683,24944,35704,None,None,1764879906.3855596
8196,742,None,None,None,None,None,None,1764879906.4857807
None,None,24909,35666,24950,35746,None,None,1764879906.4859898
8192,742,None,None,None,None,None,None,1764879906.586204
None,None,24909,35660,24944,35719,None,None,1764879906.5864017
8192,742,None,None,None,None,None,None,1764879906.6866913
None,None,24909,35690,24950,35720,None,None,1764879906.6869009
8193,742,None,None,None,None,None,None,1764879906.7871213
None,None,24914,35684,24950,35738,None,None,1764879906.7873344
8193,742,None,None,None,None,None,None,1764879906.887626
None,None,24914,35684,24944,35726,None,None,1764879906.8878407
8192,742,None,None,None,None,None,None,1764879906.9880574
None,None,24914,35675,24950,35720,None,None,1764879906.9881227
8192,742,None,None,None,None,None,None,1764879907.0883236
None,None,24914,35675,24944,35687,None,None,1764879907.0885324
8192,742,None,None,None,None,None,None,1764879907.188923
None,None,24914,35699,24939,35735,None,None,1764879907.189131
8193,742,None,None,None,None,None,None,1764879907.289568
None,None,24914,35662,24939,35702,None,None,1764879907.2897713
8192,742,None,None,None,None,None,None,1764879907.3900902
None,None,24904,35665,24939,35717,None,None,1764879907.3901563
8192,742,None,None,None,None,None,None,1764879907.4904928
None,None,24920,35641,24944,35704,None,None,1764879907.4906995
8192,742,None,None,None,None,None,None,1764879907.5912597
None,None,24909,35666,24939,35717,None,None,1764879907.5914605
8193,742,None,None,None,None,None,None,1764879907.6919408
None,None,24909,35675,24950,35720,None,None,1764879907.6921499
8193,742,None,None,None,None,None,None,1764879907.7924733
None,None,24909,35683,24944,35704,None,None,1764879907.792534
8192,742,None,None,None,None,None,None,1764879907.8927488
None,None,24914,35699,24950,35705,None,None,1764879907.8929658
