MS4525_Raw_P,MS4525_Raw_T,SHT30_1_Raw_T,SHT30_1_Raw_H,SHT30_2_Raw_T,SHT30_2_Raw_H,DS18B20_Temps,FL808_Flow_Rate_LPM,Timestamp
8192,741,None,None,None,None,None,None,1764879891.5152729
None,None,24893,35708,24923,35770,None,None,1764879891.5153527
8192,741,None,None,None,None,None,None,1764879891.6155167
None,None,24893,35693,24934,35725,None,None,1764879891.6155791
8192,742,None,None,None,None,None,None,1764879891.7157297
None,None,24888,35708,24923,35738,None,None,1764879891.7157788
8192,742,None,None,None,None,None,None,1764879891.8159397
None,None,24893,35708,24923,35755,None,None,1764879891.8160975
8192,742,None,None,None,None,None,None,1764879891.9162588
None,None,24893,35686,24923,35731,None,None,1764879891.916405
8192,742,None,None,None,None,None,None,1764879892.0166173
None,None,24899,35665,24918,35737,None,None,1764879892.0167747
8192,742,None,None,None,None,None,None,1764879892.1169922
None,None,24893,35686,24923,35722,None,None,1764879892.1171474
8192,742,None,None,None,None,None,None,1764879892.2173767
None,None,24888,35699,24929,35756,None,None,1764879892.217518
8192,742,None,None,None,None,None,None,1764879892.3176897
None,None,24899,35695,24923,35738,None,None,1764879892.317857
8192,742,None,None,None,None,None,None,1764879892.4180322
None,None,24899,35695,24934,35708,None,None,1764879892.4181917
8192,742,None,None,None,None,None,None,1764879892.5184257
None,None,24899,35687,24934,35758,None,None,1764879892.5185854
8193,742,None,None,None,None,None,None,1764879892.6188102
None,None,24893,35693,24934,35749,None,None,1764879892.6189687
8192,742,None,None,None,None,None,None,1764879892.7191272
None,None,24904,35704,24934,35734,None,None,1764879892.719176
8192,742,None,None,None,None,None,None,1764879892.8193405
None,None,24899,35672,24934,35725,None,None,1764879892.8194997
8193,742,None,None,None,None,None,None,1764879892.9196775
None,None,24899,35695,24929,35756,None,None,1764879892.9198368
8192,742,None,None,None,None,None,None,1764879893.0200164
None,None,24893,35678,24929,35723,None,None,1764879893.020178
8192,742,None,None,None,None,None,None,1764879893.1204178
None,None,24904,35689,24939,35759,None,None,1764879893.1205826
8192,742,None,None,None,None,None,None,1764879893.2207584
None,None,24899,35680,24939,35759,None,None,1764879893.2208133
8192,742,None,None,None,None,None,None,1764879893.3209808
None,None,24904,35674,24934,35749,None,None,1764879893.3211503
8196,742,None,None,None,None,None,None,1764879893.4213247
None,None,24904,35713,24939,35717,None,None,1764879893.4214864
8196,742,None,None,None,None,None,None,1764879893.5216622
None,None,24904,35720,24929,35699,None,None,1764879893.52182
8192,742,None,None,None,None,None,None,1764879893.6220489
None,None,24899,35695,24934,35791,None,None,1764879893.6222074
8192,742,None,None,None,None,None,None,1764879893.7224026
None,None,24904,35713,24939,35791,None,None,1764879893.7225466
8192,742,None,None,None,None,None,None,1764879893.822714
None,None,24899,35687,24934,35734,None,None,1764879893.822872
8192,742,None,None,None,None,None,None,1764879893.9230435
None,None,24904,35713,24929,35747,None,None,1764879893.923202
None,None,None,None,None,None,"([21.8125, 21.1875, 22.0625], ['0725803e0940', '0725802957ca', '072580357fff'])",None,1764879893.923247
8193,742,None,None,None,None,None,None,1764879894.0235825
None,None,24904,35696,24934,35701,None,None,1764879894.023729
