MS4525_Raw_P,MS4525_Raw_T,SHT30_1_Raw_T,SHT30_1_Raw_H,SHT30_2_Raw_T,SHT30_2_Raw_H,DS18B20_Temps,Timestamp
8205,759,25401,31220,25246,32069,[],1764798026.115667
8204,759,25389,31217,25262,32074,[],1764798026.2163002
8205,759,25389,31192,25256,32054,[],1764798026.316836
8208,759,25395,31226,25262,32081,[],1764798026.4178402
8208,759,25395,31244,25262,32065,[],1764798026.5184457
8205,758,25389,31234,25251,32098,[],1764798026.6190476
8204,758,25389,31226,25251,32062,[],1764798026.7198064
8207,759,25401,31228,25256,32090,[],1764798026.820389
8207,759,25395,31226,25256,32063,[],1764798026.9209738
8207,758,25395,31226,25262,32081,[],1764798027.0215747
8205,759,25395,31235,25262,32065,[],1764798027.1221745
8204,759,25401,31253,25262,32074,[],1764798027.2231774
8204,759,25401,31246,25262,32047,[],1764798027.3243675
8211,759,25395,31226,25262,32092,[],1764798027.425373
8207,759,25401,31253,25251,32114,[],1764798027.5263987
8205,759,25395,31252,25256,32072,[],1764798027.6273758
8205,759,25395,31252,25262,32081,[],1764798027.7284698
8205,759,25401,31220,25262,32081,[],1764798027.8294141
8204,759,25401,31262,25256,32099,[],1764798027.9303477
8203,759,25401,31253,25267,32128,[],1764798028.0315077
8204,759,25401,31211,25272,32084,[],1764798028.1324494
8203,759,25395,31235,25272,32119,[],1764798028.2334797
8210,759,25401,31228,25267,32110,[],1764798028.3345697
8205,759,25401,31288,25267,32119,[],1764798028.4356732
8208,759,25401,31262,25262,32081,[],1764798028.5367043
8205,759,25401,31270,25267,32083,[],1764798028.6377437
8204,759,25395,31268,25267,32110,[],1764798028.7388263
8210,759,25401,31288,25262,32074,[],1764798028.839801
8203,759,25401,31262,25267,32110,[],1764798028.9411938
8204,759,25406,31255,25256,32072,[],1764798029.0655546
8204,759,25395,31277,25267,32093,[],1764798029.1661117
8204,759,25401,31262,25272,32138,[],1764798029.267232
8204,759,25401,31211,25272,32095,[],1764798029.3682632
8203,759,25406,31271,25272,32129,[],1764798029.46926
8204,759,25395,31261,25267,32119,[],1764798029.570243
8207,759,25406,31288,25272,32095,[],1764798029.6713061
8210,759,25406,31271,25272,32095,[],1764798029.772376
8201,759,25395,31226,25272,32084,[],1764798029.8733988
8204,759,25406,31229,25267,32144,[],1764798029.974686
8205,759,25406,31255,25267,32075,[],1764798030.0758066
8203,759,25401,31262,25267,32083,[],1764798030.1768565
8208,759,25406,31255,25272,32057,[],1764798030.2779064
8204,759,25401,31279,25262,32056,[],1764798030.3790004
8204,759,25411,31273,25267,32093,[],1764798030.4800196
8208,759,25406,31271,25272,32119,[],1764798030.5810852
8204,759,25401,31279,25272,32084,[],1764798030.68218
8200,759,25401,31279,25262,32092,[],1764798030.782649
8204,759,25401,31270,25262,32074,[],1764798030.8837342
8204,759,25401,31304,25267,32083,[],1764798030.9847646
8200,759,25411,31238,25272,32075,[],1764798031.0857863
8204,759,25401,31279,25267,32083,[],1764798031.186899
8205,759,25411,31264,25272,32095,[],1764798031.2879376
8207,759,25406,31255,25272,32095,[],1764798031.3890479
8205,759,25401,31279,25272,32102,[],1764798031.4900236
8204,759,25406,31280,25262,32081,[],1764798031.5910773
8208,759,25406,31271,25272,32084,[],1764798031.6922512
8204,759,25406,31280,25272,32129,[],1764798031.7933497
8203,759,25395,31277,25272,32102,[],1764798031.8942807
8203,759,25406,31264,25272,32084,[],1764798031.995228
8204,759,25406,31271,25272,32068,[],1764798032.0962145
8205,759,25416,31265,25277,32086,[],1764798032.1972623
8204,759,25406,31238,25262,32081,[],1764798032.2983167
8203,759,25411,31247,25272,32095,[],1764798032.3993738
8205,759,25411,31247,25262,32081,[],1764798032.5004144
8203,759,25401,31279,25267,32083,[],1764798032.6014426
8205,758,25411,31298,25267,32056,[],1764798032.7025564
8204,758,25411,31264,25272,32068,[],1764798032.8035243
8201,759,25406,31297,25267,32032,[],1764798032.90456
8207,759,25401,31295,25267,32056,[],1764798033.0055914
8203,759,25406,31280,25272,32068,[],1764798033.1066775
8204,759,25401,31270,25272,32075,[],1764798033.2077506
8200,759,25411,31273,25272,32068,[],1764798033.3085997
8207,759,25406,31330,25277,32086,[],1764798033.4096901
8208,759,25406,31297,25272,32057,[],1764798033.5104082
8208,759,25411,31256,25262,32020,[],1764798033.6114538
8204,759,25411,31256,25267,32056,[],1764798033.7124093
8204,759,25406,31255,25272,32041,[],1764798033.8134525
8204,759,25406,31178,25277,32050,[],1764798033.9145346
8208,759,25411,31264,25267,32056,[],1764798034.0153701
8207,759,25411,31180,25267,32066,[],1764798034.1163874
8207,759,25406,31238,25272,32041,[],1764798034.2173293
8205,759,25416,31256,25267,32075,[],1764798034.318393
8205,759,25411,31247,25262,32047,[],1764798034.419507
8208,759,25411,31273,25272,32068,[],1764798034.5204554
8205,759,25411,31231,25277,32042,[],1764798034.6215062
8207,759,25411,31247,25277,32086,[],1764798034.722487
8205,759,25411,31222,25267,32048,[],1764798034.823509
8211,759,25416,31256,25277,32077,[],1764798034.9243402
8205,759,25406,31264,25272,32050,[],1764798035.026354
8205,759,25406,31229,25277,32033,[],1764798035.1274333
8207,759,25411,31214,25272,32050,[],1764798035.2283611
8203,759,25416,31223,25272,32057,[],1764798035.3289843
8207,759,25411,31282,25267,32032,[],1764798035.4301481
8204,759,25416,31240,25283,32035,[],1764798035.5311072
8204,759,25411,31189,25267,32021,[],1764798035.6328773
8208,759,25406,31220,25272,32014,[],1764798035.7453194
8210,759,25406,31238,25277,32015,[],1764798035.8463027
8207,759,25411,31231,25267,32032,[],1764798035.9474363
8205,759,25411,31222,25283,32051,[],1764798036.0482996
8207,759,25411,31214,25267,32021,[],1764798036.1493537
8204,759,25422,31241,25283,32035,[],1764798036.2503211
8205,759,25422,31199,25272,32068,[],1764798036.3511405
8204,759,25411,31238,25272,32032,[],1764798036.4521449
8204,759,25416,31223,25277,32042,[],1764798036.553136
8203,759,25411,31214,25277,32006,[],1764798036.6540403
8207,759,25416,31240,25277,32050,[],1764798036.7551124
8207,759,25406,31229,25272,32075,[],1764798036.8561912
8205,759,25411,31205,25277,32033,[],1764798036.9573157
8203,759,25411,31189,25277,32050,[],1764798037.0583155
8205,759,25411,31231,25277,32024,[],1764798037.1594572
8203,759,25416,31190,25272,32014,[],1764798037.2605903
8210,759,25416,31165,25277,32006,[],1764798037.3613317
8207,759,25411,31214,25277,32042,[],1764798037.4623582
8201,759,25411,31214,25277,32024,[],1764798037.56337
8205,759,25411,31231,25272,32014,[],1764798037.6644416
8203,759,25416,31223,25272,32014,[],1764798037.7655206
8203,759,25411,31205,25277,32033,[],1764798037.866542
8208,759,25416,31190,25272,32023,[],1764798037.967525
8199,759,25411,31189,25277,32024,[],1764798038.0689695
