MS4525_Raw_P,MS4525_Raw_T,SHT30_1_Raw_T,SHT30_1_Raw_H,SHT30_2_Raw_T,SHT30_2_Raw_H,DS18B20_Temps,Timestamp
8178,774,25188,33140,25199,33113,"[22.1875, 21.8125, 22.1875]",1764793066.3829691
8180,775,25188,33131,25193,33121,"[22.1875, 21.8125, 22.25]",1764793068.7831798
8180,775,25188,33115,25199,33122,"[22.1875, 21.8125, 22.25]",1764793071.183228
8179,774,25188,33106,25204,33151,"[22.1875, 21.875, 22.25]",1764793073.6798868
8179,775,25188,33106,25199,33113,"[22.1875, 21.875, 22.25]",1764793076.0798457
8179,775,25188,33124,25199,33131,"[22.1875, 21.8125, 22.25]",1764793078.4798317
8179,775,25195,33107,25199,33104,"[22.1875, 21.875, 22.25]",1764793080.8799627
8179,775,25188,33148,25199,33097,"[22.1875, 21.875, 22.25]",1764793083.2794166
