MS4525_Raw_P,MS4525_Raw_T,SHT30_1_Raw_T,SHT30_1_Raw_H,SHT30_2_Raw_T,SHT30_2_Raw_H,DS18B20_Temps,Timestamp
8193,774,None,None,None,None,[],1764801543.0983336
8193,774,None,None,None,None,[],1764801543.1990848
8192,774,None,None,None,None,[],1764801543.3004105
8192,774,None,None,None,None,[],1764801543.401268
8190,774,None,None,None,None,[],1764801543.5022123
8192,774,None,None,None,None,[],1764801543.603252
8192,774,None,None,None,None,[],1764801543.7042747
8192,774,None,None,None,None,[],1764801543.8052747
8192,774,None,None,None,None,[],1764801543.9060843
8193,774,None,None,None,None,[],1764801544.0070472
8192,774,None,None,None,None,[],1764801544.1079776
8193,774,None,None,None,None,[],1764801544.208804
8193,774,None,None,None,None,[],1764801544.3096871
8192,774,None,None,None,None,[],1764801544.4106145
8192,774,None,None,None,None,[],1764801544.5116212
8190,774,None,None,None,None,[],1764801544.6125805
8192,774,None,None,None,None,[],1764801544.7133682
8192,774,None,None,None,None,[],1764801544.814527
8192,774,None,None,None,None,[],1764801544.9154243
8190,774,None,None,None,None,[],1764801545.0163977
8190,774,None,None,None,None,[],1764801545.1173837
8192,774,None,None,None,None,[],1764801545.2182217
8192,774,None,None,None,None,[],1764801545.31906
8192,774,None,None,None,None,[],1764801545.4200175
8190,774,None,None,None,None,[],1764801545.520792
8193,774,None,None,None,None,[],1764801545.6216567
8193,774,None,None,None,None,[],1764801545.7226741
8192,774,None,None,None,None,[],1764801545.8235106
8192,774,None,None,None,None,[],1764801545.9244235
8192,774,None,None,None,None,[],1764801546.0251503
8192,774,None,None,None,None,[],1764801546.12603
8192,774,None,None,None,None,[],1764801546.2268374
8190,774,None,None,None,None,[],1764801546.3277442
8190,774,None,None,None,None,[],1764801546.4286928
8193,774,None,None,None,None,[],1764801546.5295293
8192,774,None,None,None,None,[],1764801546.6303813
8192,774,None,None,None,None,[],1764801546.7313285
8192,774,None,None,None,None,[],1764801546.8342
8190,774,None,None,None,None,[],1764801546.9351704
8190,774,None,None,None,None,[],1764801547.0360222
8192,774,None,None,None,None,[],1764801547.137025
8192,774,None,None,None,None,[],1764801547.237857
8192,774,None,None,None,None,[],1764801547.3385973
8192,774,None,None,None,None,[],1764801547.4410286
8192,774,None,None,None,None,[],1764801547.5419288
8192,774,None,None,None,None,[],1764801547.642524
8190,774,None,None,None,None,[],1764801547.7436137
8192,774,None,None,None,None,[],1764801547.844495
8192,774,None,None,None,None,[],1764801547.9454389
