MS4525_Raw_P,MS4525_Raw_T,SHT30_1_Raw_T,SHT30_1_Raw_H,SHT30_2_Raw_T,SHT30_2_Raw_H,DS18B20_Temps,Timestamp
8180,788,25162,33577,25171,33887,"[22.1875, 21.875, 22.25]",1764792941.5511055
8180,788,25173,33596,25171,33895,"[22.1875, 21.875, 22.25]",1764792943.9511461
8179,787,25162,33569,25182,33914,"[22.1875, 21.8125, 22.25]",1764792946.3511221
8180,788,25167,33604,25171,33895,"[22.1875, 21.8125, 22.25]",1764792948.8469017
8180,788,25173,33605,25171,33904,"[22.1875, 21.875, 22.25]",1764792951.2471552
8179,788,25178,33598,25182,33931,"[22.1875, 21.8125, 22.25]",1764792953.6479313
8180,788,25167,33595,25171,33904,"[22.1875, 21.875, 22.25]",1764792956.0474446
8180,788,25167,33595,25166,33893,"[22.1875, 21.875, 22.25]",1764792958.4472349
8179,788,25173,33596,25171,33887,"[22.1875, 21.875, 22.25]",1764792960.943752
8179,788,25167,33587,25177,33881,"[22.1875, 21.875, 22.25]",1764792963.3753054
8179,788,25178,33590,25171,33895,"[22.1875, 21.875, 22.25]",1764792965.7751298
8179,788,25173,33596,25177,33872,"[22.1875, 21.875, 22.25]",1764792968.1760027
