MS4525_Raw_P,MS4525_Raw_T,SHT30_1_Raw_T,SHT30_1_Raw_H,SHT30_2_Raw_T,SHT30_2_Raw_H,DS18B20_Temps,Timestamp
8192,752,25416,30920,25330,31333,[],1764800037.7111232
8205,751,25411,30919,25325,31358,[],1764800037.8120437
8187,751,25416,30904,25330,31324,[],1764800037.9160416
8188,751,25411,30919,25325,31358,[],1764800038.0193403
8196,751,25411,30928,25330,31340,[],1764800038.1256688
8212,751,25416,30896,25330,31360,[],1764800038.2288747
8199,751,25422,30913,25335,31334,[],1764800038.3307424
8184,751,25416,30920,25325,31331,[],1764800038.43239
8186,751,25416,30904,25330,31351,[],1764800038.5369985
8204,752,25422,30889,25330,31306,[],1764800038.638679
8204,752,25422,30929,25330,31333,[],1764800038.7427363
8196,752,25411,30919,25335,31360,[],1764800038.843551
8211,751,25416,30911,25346,31372,[],1764800038.943956
8196,751,25427,30940,25351,31364,[],1764800039.0448895
8201,751,25411,30902,25325,31366,[],1764800039.1478145
8186,751,25411,30887,25330,31394,[],1764800039.249986
8196,751,25416,30911,25330,31340,[],1764800039.3509064
8200,751,25411,30911,25335,31334,[],1764800039.4524782
8200,751,25422,30889,25330,31340,[],1764800039.5540636
8186,751,25416,30920,25335,31403,[],1764800039.6557195
8201,751,25416,30953,25335,31369,[],1764800039.757349
8196,751,25422,30929,25335,31387,[],1764800039.8584719
8192,751,25422,30913,25346,31379,[],1764800039.9600537
8186,752,25422,30929,25335,31378,[],1764800040.06208
8193,751,25422,30938,25325,31375,[],1764800040.1636214
8200,751,25427,30931,25335,31403,[],1764800040.2651873
8190,751,25427,30965,25330,31340,[],1764800040.3670244
8183,751,25416,30937,25330,31351,[],1764800040.4685655
8200,751,25427,30931,25340,31397,[],1764800040.5702105
8207,752,25427,30914,25340,31370,[],1764800040.671608
8187,752,25427,30899,25330,31385,[],1764800040.7728329
8183,752,25422,30913,25340,31397,[],1764800040.8767502
8200,752,25411,30902,25335,31378,[],1764800040.9778602
8184,752,25427,30890,25346,31390,[],1764800041.0795891
8173,752,25422,30947,25340,31370,[],1764800041.1813142
8190,751,25416,30928,25340,31405,[],1764800041.2860959
8190,751,25422,30929,25340,31405,[],1764800041.3880317
8197,751,25427,30905,25340,31378,[],1764800041.489159
8186,752,25427,30956,25340,31370,[],1764800041.590383
8187,752,25416,30920,25340,31343,[],1764800041.6916437
8197,751,25422,30905,25346,31390,[],1764800041.7930486
8197,751,25427,30914,25335,31352,[],1764800041.89463
8200,751,25422,30922,25335,31360,[],1764800041.996111
8190,752,25422,30922,25346,31390,[],1764800042.0972698
8188,752,25432,30923,25330,31385,[],1764800042.1986644
8204,752,25416,30911,25340,31423,[],1764800042.3019702
8190,751,25427,30899,25340,31388,[],1764800042.4036574
8190,751,25422,30913,25340,31388,[],1764800042.5053122
8205,751,25427,30947,25335,31387,[],1764800042.6066735
8192,752,25427,30931,25340,31397,[],1764800042.7079487
8193,752,25422,30913,25340,31423,[],1764800042.8087711
8179,751,25422,30905,25340,31432,[],1764800042.9102252
8190,751,25422,30889,25335,31396,[],1764800043.011754
8193,751,25422,30905,25340,31415,[],1764800043.1132004
8197,751,25422,30922,25346,31417,[],1764800043.2148173
8192,752,25427,30914,25340,31415,[],1764800043.3162627
8215,752,25427,30931,25340,31405,[],1764800043.417851
8207,752,25427,30931,25340,31432,[],1764800043.5191472
8188,752,25427,30947,25340,31415,[],1764800043.6207666
