MS4525_Raw_P,MS4525_Raw_T,SHT30_1_Raw_T,SHT30_1_Raw_H,SHT30_2_Raw_T,SHT30_2_Raw_H,DS18B20_Temps,Timestamp
8192,740,None,None,None,None,None,1764878242.0921335
None,None,24851,35767,24876,35831,None,1764878242.0922182
8193,740,None,None,None,None,None,1764878242.142753
None,None,24851,35767,24876,35839,None,1764878242.142929
8192,740,None,None,None,None,None,1764878242.183435
None,None,24851,35782,24876,35822,None,1764878242.1836088
8192,740,None,None,None,None,None,1764878242.23429
None,None,24862,35731,24887,35873,None,1764878242.2344465
8192,740,None,None,None,None,None,1764878242.2754407
None,None,24851,35798,24887,35800,None,1764878242.2755978
8192,740,None,None,None,None,None,1764878242.3268967
None,None,24857,35776,24876,35854,None,1764878242.32706
8190,740,None,None,None,None,None,1764878242.3675394
None,None,24862,35762,24876,35846,None,1764878242.367702
8190,740,None,None,None,None,None,1764878242.4182749
None,None,24867,35771,24876,35797,None,1764878242.418431
8192,740,None,None,None,None,None,1764878242.4589307
None,None,24867,35786,24881,35807,None,1764878242.4591014
8192,740,None,None,None,None,None,1764878242.5114791
None,None,24857,35761,24887,35777,None,1764878242.5115645
8192,740,None,None,None,None,None,1764878242.5526295
None,None,24862,35731,24887,35809,None,1764878242.5528347
8193,740,None,None,None,None,None,1764878242.6042488
None,None,24867,35779,24881,35807,None,1764878242.6044228
8192,740,None,None,None,None,None,1764878242.6453345
None,None,24857,35785,24887,35866,None,1764878242.645515
8192,740,None,None,None,None,None,1764878242.697
None,None,24857,35761,24881,35815,None,1764878242.697172
8193,740,None,None,None,None,None,1764878242.738426
None,None,24857,35776,24881,35815,None,1764878242.738587
8192,740,None,None,None,None,None,1764878242.7900443
None,None,24857,35785,24887,35834,None,1764878242.7902656
8192,740,None,None,None,None,None,1764878242.8312528
None,None,24862,35770,24892,35827,None,1764878242.8314245
8193,740,None,None,None,None,None,1764878242.8828104
None,None,24862,35777,24881,35824,None,1764878242.88295
None,None,24867,35771,24887,35834,None,1764878242.9237728
8196,740,None,None,None,None,None,1764878242.933955
8193,740,None,None,None,None,None,1764878242.974502
None,None,24857,35792,24881,35824,None,1764878242.9745615
8193,740,None,None,None,None,None,1764878243.0257924
None,None,24862,35786,24881,35815,None,1764878243.0258813
8193,740,None,None,None,None,None,1764878243.067328
None,None,24862,35777,24881,35824,None,1764878243.0674155
8193,740,None,None,None,None,None,1764878243.1187277
None,None,24862,35786,24881,35833,None,1764878243.1189263
8192,740,None,None,None,None,None,1764878243.1599932
None,None,24862,35777,24892,35827,None,1764878243.1603003
8193,740,None,None,None,None,None,1764878243.2118871
None,None,24857,35753,24897,35812,None,1764878243.2121031
8192,740,None,None,None,None,None,1764878243.253194
None,None,24862,35794,24892,35818,None,1764878243.253405
8196,740,None,None,None,None,None,1764878243.3052146
None,None,24867,35764,24892,35810,None,1764878243.3054206
8193,740,None,None,None,None,None,1764878243.3467724
None,None,24872,35780,24887,35809,None,1764878243.3473122
8193,740,None,None,None,None,None,1764878243.398953
None,None,24862,35809,24887,35842,None,1764878243.3990488
8193,740,None,None,None,None,None,1764878243.439635
None,None,24862,35770,24887,35809,None,1764878243.4397297
8193,740,None,None,None,None,None,1764878243.4911938
None,None,24867,35771,24887,35842,None,1764878243.4915447
8193,740,None,None,None,None,None,1764878243.5326056
None,None,24857,35768,24876,35839,None,1764878243.53267
8193,740,None,None,None,None,None,1764878243.5843232
None,None,24872,35780,24892,35810,None,1764878243.5845351
8192,740,None,None,None,None,None,1764878243.6256204
None,None,24872,35750,24887,35809,None,1764878243.625809
8192,740,None,None,None,None,None,1764878243.678158
None,None,24872,35797,24887,35809,None,1764878243.6783977
8193,740,None,None,None,None,None,1764878243.7189722
None,None,24867,35786,24892,35818,None,1764878243.7191894
8193,740,None,None,None,None,None,1764878243.7698884
None,None,24862,35777,24892,35827,None,1764878243.7700953
8193,740,None,None,None,None,None,1764878243.8106992
None,None,24867,35795,24887,35792,None,1764878243.8108964
8193,740,None,None,None,None,None,1764878243.861593
None,None,24862,35747,24887,35818,None,1764878243.8618064
8192,740,None,None,None,None,None,1764878243.9024658
None,None,24872,35780,24897,35852,None,1764878243.9026792
8192,740,None,None,None,None,None,1764878243.9535027
None,None,24862,35762,24892,35827,None,1764878243.9537075
None,None,24867,35749,24887,35800,None,1764878243.9942625
8193,740,None,None,None,None,None,1764878244.0045578
8193,740,None,None,None,None,None,1764878244.0452278
None,None,24862,35770,24892,35801,None,1764878244.0454416
8193,740,None,None,None,None,None,1764878244.0960894
None,None,24872,35758,24887,35809,None,1764878244.0962963
8193,740,None,None,None,None,None,1764878244.1369627
None,None,24867,35749,24897,35812,None,1764878244.137175
8193,740,None,None,None,None,None,1764878244.1879127
None,None,24867,35732,24881,35848,None,1764878244.188123
8193,740,None,None,None,None,None,1764878244.2286277
None,None,24862,35777,24892,35827,None,1764878244.2288399
8193,740,None,None,None,None,None,1764878244.2795978
None,None,24872,35773,24892,35827,None,1764878244.2798123
8193,740,None,None,None,None,None,1764878244.320385
None,None,24862,35755,24887,35800,None,1764878244.3205965
8193,740,None,None,None,None,None,1764878244.3713748
None,None,24867,35756,24892,35810,None,1764878244.3715844
8192,740,None,None,None,None,None,1764878244.4121644
None,None,24872,35758,24892,35801,None,1764878244.4123685
8192,740,None,None,None,None,None,1764878244.4631195
None,None,24867,35740,24897,35819,None,1764878244.4633303
None,None,None,None,None,None,"[21.625, 21.1875, 21.75]",1764878244.4634826
None,None,24867,35756,24897,35803,None,1764878244.504136
8192,740,None,None,None,None,None,1764878244.5144553
8193,740,None,None,None,None,None,1764878244.5551198
None,None,24872,35734,24887,35834,None,1764878244.5553339
8193,740,None,None,None,None,None,1764878244.6061425
None,None,24872,35758,24892,35818,None,1764878244.606349
8193,740,None,None,None,None,None,1764878244.6478305
None,None,24867,35779,24892,35810,None,1764878244.6481586
8193,740,None,None,None,None,None,1764878244.6994395
None,None,24867,35764,24887,35800,None,1764878244.699726
8193,740,None,None,None,None,None,1764878244.7409816
None,None,24867,35771,24897,35803,None,1764878244.741299
8192,740,None,None,None,None,None,1764878244.792781
None,None,24867,35771,24897,35812,None,1764878244.7929904
8193,740,None,None,None,None,None,1764878244.8340738
None,None,24872,35750,24892,35794,None,1764878244.834244
8196,740,None,None,None,None,None,1764878244.8850403
None,None,24872,35750,24897,35795,None,1764878244.8851147
8193,740,None,None,None,None,None,1764878244.9255672
None,None,24867,35756,24892,35818,None,1764878244.9257615
8193,740,None,None,None,None,None,1764878244.9763794
None,None,24862,35777,24897,35803,None,1764878244.9765923
8193,740,None,None,None,None,None,1764878245.0171556
None,None,24862,35740,24897,35788,None,1764878245.0172257
8192,740,None,None,None,None,None,1764878245.067838
None,None,24862,35731,24887,35800,None,1764878245.0680497
8192,740,None,None,None,None,None,1764878245.1086373
None,None,24867,35756,24892,35794,None,1764878245.1087615
8193,740,None,None,None,None,None,1764878245.1593628
None,None,24867,35764,24897,35788,None,1764878245.1594574
8193,740,None,None,None,None,None,1764878245.2107625
None,None,24862,35747,24892,35801,None,1764878245.2108748
8192,740,None,None,None,None,None,1764878245.251503
None,None,24867,35740,24892,35786,None,1764878245.2515674
8193,740,None,None,None,None,None,1764878245.3022113
None,None,24867,35779,24897,35803,None,1764878245.302302
8193,740,None,None,None,None,None,1764878245.3430665
None,None,24867,35764,24897,35812,None,1764878245.3432796
8192,740,None,None,None,None,None,1764878245.3940768
None,None,24872,35758,24897,35812,None,1764878245.3943002
8192,740,None,None,None,None,None,1764878245.4450305
None,None,24867,35764,24892,35810,None,1764878245.4450977
8193,740,None,None,None,None,None,1764878245.4856355
None,None,24878,35752,24892,35810,None,1764878245.48585
8196,740,None,None,None,None,None,1764878245.5365264
None,None,24862,35747,24897,35771,None,1764878245.536749
8193,740,None,None,None,None,None,1764878245.577305
None,None,24867,35740,24897,35780,None,1764878245.5774999
8193,740,None,None,None,None,None,1764878245.6281638
None,None,24862,35723,24897,35803,None,1764878245.6282327
8196,740,None,None,None,None,None,1764878245.6687515
None,None,24872,35750,24892,35770,None,1764878245.6689625
8193,740,None,None,None,None,None,1764878245.7196338
None,None,24872,35734,24892,35818,None,1764878245.7198462
8196,740,None,None,None,None,None,1764878245.76049
None,None,24867,35725,24892,35801,None,1764878245.7605565
8192,740,None,None,None,None,None,1764878245.8112805
None,None,24862,35731,24897,35819,None,1764878245.8114974
8192,740,None,None,None,None,None,1764878245.8623724
None,None,24878,35728,24897,35803,None,1764878245.8624701
8193,740,None,None,None,None,None,1764878245.9036133
None,None,24867,35749,24897,35819,None,1764878245.9038076
8193,740,None,None,None,None,None,1764878245.9548497
None,None,24872,35734,24897,35788,None,1764878245.954918
8193,740,None,None,None,None,None,1764878245.9955106
None,None,24872,35750,24897,35771,None,1764878245.995729
8192,740,None,None,None,None,None,1764878246.0464215
None,None,24867,35740,24897,35788,None,1764878246.046637
8193,740,None,None,None,None,None,1764878246.087724
None,None,24867,35732,24897,35803,None,1764878246.0880258
8193,740,None,None,None,None,None,1764878246.1393502
None,None,24867,35725,24892,35801,None,1764878246.1394205
8193,740,None,None,None,None,None,1764878246.1806226
None,None,24867,35740,24897,35795,None,1764878246.1808476
8192,740,None,None,None,None,None,1764878246.2324347
None,None,24878,35752,24892,35801,None,1764878246.2325037
8192,740,None,None,None,None,None,1764878246.2735603
None,None,24878,35744,24897,35812,None,1764878246.2737703
8196,740,None,None,None,None,None,1764878246.325337
None,None,24872,35734,24892,35801,None,1764878246.3255312
8196,740,None,None,None,None,None,1764878246.3668523
None,None,24878,35752,24897,35788,None,1764878246.36706
8192,740,None,None,None,None,None,1764878246.4184084
None,None,24872,35750,24897,35795,None,1764878246.4186049
8192,740,None,None,None,None,None,1764878246.4598088
None,None,24878,35752,24897,35803,None,1764878246.460003
8193,740,None,None,None,None,None,1764878246.5113974
None,None,24872,35750,24897,35803,None,1764878246.5116057
8193,740,None,None,None,None,None,1764878246.5529337
None,None,24867,35725,24897,35764,None,1764878246.553127
8192,740,None,None,None,None,None,1764878246.60448
None,None,24867,35717,24897,35780,None,1764878246.604675
8192,740,None,None,None,None,None,1764878246.645657
None,None,24867,35732,24897,35803,None,1764878246.6457255
8192,740,None,None,None,None,None,1764878246.69691
None,None,24878,35744,24897,35795,None,1764878246.6971323
8192,740,None,None,None,None,None,1764878246.737841
None,None,24872,35750,24892,35779,None,1764878246.7379081
8192,740,None,None,None,None,None,1764878246.7908974
None,None,24883,35753,24897,35755,None,1764878246.7911108
8193,740,None,None,None,None,None,1764878246.8318603
None,None,24872,35734,24897,35788,None,1764878246.8320725
None,None,None,None,None,None,"[21.625, 21.1875, 21.75]",1764878246.8625097
8196,740,None,None,None,None,None,1764878246.882873
None,None,24872,35734,24892,35801,None,1764878246.8830907
8193,740,None,None,None,None,None,1764878246.923685
None,None,24878,35735,24897,35780,None,1764878246.923917
8192,740,None,None,None,None,None,1764878246.9747057
None,None,24867,35732,24897,35771,None,1764878246.97477
8192,740,None,None,None,None,None,1764878247.015452
None,None,24872,35734,24902,35804,None,1764878247.0156698
8192,740,None,None,None,None,None,1764878247.0665607
None,None,24872,35750,24897,35788,None,1764878247.066635
8192,740,None,None,None,None,None,1764878247.1178937
None,None,24878,35705,24887,35752,None,1764878247.1181707
8193,740,None,None,None,None,None,1764878247.1592906
None,None,24872,35734,24892,35779,None,1764878247.1594715
8193,740,None,None,None,None,None,1764878247.2109036
None,None,24878,35705,24897,35755,None,1764878247.2112334
8196,740,None,None,None,None,None,1764878247.2525012
None,None,24872,35711,24902,35789,None,1764878247.2526672
None,None,24872,35726,24918,35768,None,1764878247.2937572
8193,740,None,None,None,None,None,1764878247.3040915
8196,740,None,None,None,None,None,1764878247.3451273
None,None,24878,35735,24902,35782,None,1764878247.3453357
None,None,24872,35741,24902,35773,None,1764878247.3864312
8193,740,None,None,None,None,None,1764878247.3969193
8196,740,None,None,None,None,None,1764878247.437972
None,None,24878,35713,24902,35782,None,1764878247.438267
None,None,24883,35729,24897,35755,None,1764878247.479261
8193,740,None,None,None,None,None,1764878247.4895988
8196,740,None,None,None,None,None,1764878247.5307415
None,None,24878,35767,24897,35812,None,1764878247.5310287
8193,740,None,None,None,None,None,1764878247.583296
None,None,24883,35729,24902,35804,None,1764878247.583412
8193,740,None,None,None,None,None,1764878247.6240268
None,None,24878,35735,24897,35788,None,1764878247.6242242
8192,740,None,None,None,None,None,1764878247.6752768
None,None,24872,35719,24897,35803,None,1764878247.6753669
8192,740,None,None,None,None,None,1764878247.7159386
None,None,24872,35726,24902,35797,None,1764878247.716029
8192,740,None,None,None,None,None,1764878247.7666743
None,None,24872,35726,24902,35764,None,1764878247.7667372
8192,740,None,None,None,None,None,1764878247.8077507
None,None,24878,35713,24902,35789,None,1764878247.8079364
8193,740,None,None,None,None,None,1764878247.8592036
None,None,24878,35713,24892,35794,None,1764878247.8593898
8193,740,None,None,None,None,None,1764878247.9003916
None,None,24878,35713,24897,35771,None,1764878247.9004636
8196,740,None,None,None,None,None,1764878247.9510403
None,None,24872,35758,24902,35773,None,1764878247.9511278
None,None,24872,35711,24897,35795,None,1764878247.9916725
8192,740,None,None,None,None,None,1764878248.001878
8193,740,None,None,None,None,None,1764878248.0423298
None,None,24878,35689,24897,35771,None,1764878248.0423865
8192,740,None,None,None,None,None,1764878248.0928998
None,None,24878,35705,24902,35773,None,1764878248.0929558
8192,740,None,None,None,None,None,1764878248.1333954
None,None,24872,35719,24902,35773,None,1764878248.133481
8192,740,None,None,None,None,None,1764878248.1840415
None,None,24878,35698,24902,35764,None,1764878248.1841257
8192,740,None,None,None,None,None,1764878248.224571
None,None,24872,35695,24908,35774,None,1764878248.2246563
8193,740,None,None,None,None,None,1764878248.2752686
None,None,24872,35711,24902,35756,None,1764878248.2753344
None,None,24878,35705,24897,35771,None,1764878248.3158088
8192,740,None,None,None,None,None,1764878248.3259885
8193,740,None,None,None,None,None,1764878248.3664455
None,None,24878,35713,24902,35756,None,1764878248.3665352
8192,740,None,None,None,None,None,1764878248.4171107
None,None,24872,35711,24897,35755,None,1764878248.4171827
8192,740,None,None,None,None,None,1764878248.4590042
None,None,24872,35726,24902,35732,None,1764878248.4591901
8192,740,None,None,None,None,None,1764878248.5104735
None,None,24883,35722,24892,35770,None,1764878248.5105386
8193,740,None,None,None,None,None,1764878248.5514874
None,None,24878,35698,24902,35764,None,1764878248.5516596
8196,740,None,None,None,None,None,1764878248.6030684
None,None,24872,35741,24902,35789,None,1764878248.603234
8196,740,None,None,None,None,None,1764878248.6440613
None,None,24878,35713,24897,35747,None,1764878248.6442766
8193,740,None,None,None,None,None,1764878248.6949902
None,None,24878,35698,24902,35732,None,1764878248.695058
8192,740,None,None,None,None,None,1764878248.7356348
None,None,24878,35728,24897,35764,None,1764878248.7357411
8192,740,None,None,None,None,None,1764878248.786424
None,None,24872,35711,24897,35764,None,1764878248.7866492
8193,740,None,None,None,None,None,1764878248.827199
None,None,24872,35695,24902,35756,None,1764878248.8274143
8192,740,None,None,None,None,None,1764878248.878067
None,None,24878,35705,24897,35788,None,1764878248.878137
8192,740,None,None,None,None,None,1764878248.9187093
None,None,24872,35719,24902,35797,None,1764878248.918804
8192,740,None,None,None,None,None,1764878248.9694073
None,None,24883,35645,24902,35749,None,1764878248.9694993
8192,740,None,None,None,None,None,1764878249.0200846
None,None,24867,35702,24897,35755,None,1764878249.0201776
8192,740,None,None,None,None,None,1764878249.0606425
None,None,24878,35728,24908,35758,None,1764878249.0607736
8193,740,None,None,None,None,None,1764878249.1120284
None,None,24872,35704,24897,35771,None,1764878249.1121256
8192,740,None,None,None,None,None,1764878249.152569
None,None,24878,35705,24897,35771,None,1764878249.1526556
8192,740,None,None,None,None,None,1764878249.203211
None,None,24883,35683,24897,35755,None,1764878249.2032785
8193,740,None,None,None,None,None,1764878249.2442992
None,None,24872,35711,24902,35756,None,1764878249.2444792
None,None,None,None,None,None,"[21.625, 21.1875, 21.75]",1764878249.2651868
8193,740,None,None,None,None,None,1764878249.2960181
None,None,24883,35690,24902,35773,None,1764878249.2960854
8193,740,None,None,None,None,None,1764878249.337086
None,None,24878,35713,24897,35755,None,1764878249.3373692
8193,740,None,None,None,None,None,1764878249.388808
None,None,24883,35698,24902,35740,None,1764878249.3890038
8192,740,None,None,None,None,None,1764878249.4295902
None,None,24878,35698,24902,35749,None,1764878249.429795
8193,740,None,None,None,None,None,1764878249.4804294
None,None,24878,35735,24902,35764,None,1764878249.4804957
8193,740,None,None,None,None,None,1764878249.5217426
None,None,24872,35695,24902,35789,None,1764878249.5219147
8193,740,None,None,None,None,None,1764878249.5733364
None,None,24883,35722,24897,35747,None,1764878249.5735197
8193,740,None,None,None,None,None,1764878249.616395
None,None,24878,35713,24902,35732,None,1764878249.6166449
