MS4525_Raw_P,MS4525_Raw_T,SHT30_1_Raw_T,SHT30_1_Raw_H,SHT30_2_Raw_T,SHT30_2_Raw_H,DS18B20_Temps,Timestamp
8176,762,25162,32983,25166,33097,"[22.1875, 21.875, 22.25]",1764793504.271255
8178,762,25162,32974,25171,33098,"[22.1875, 21.875, 22.25]",1764793506.6711893
8178,762,25162,32999,25182,33074,"[22.25, 21.875, 22.25]",1764793509.0711496
8179,763,25157,33007,25177,33091,"[22.25, 21.875, 22.25]",1764793511.5354106
8178,763,25157,32972,25171,33089,"[22.25, 21.875, 22.25]",1764793513.9672894
8178,763,25162,32990,25171,33062,"[22.25, 21.875, 22.25]",1764793516.36738
8178,763,25167,32983,25171,33106,"[22.1875, 21.875, 22.25]",1764793518.7674286
8178,763,25162,32983,25177,33100,"[22.25, 21.875, 22.25]",1764793521.1672337
8179,763,25167,32992,25171,33124,"[22.1875, 21.875, 22.25]",1764793523.6629443
8179,763,25167,33001,25171,33071,"[22.25, 21.875, 22.25]",1764793526.0664313
