MS4525_Raw_P,MS4525_Raw_T,SHT30_1_Raw_T,SHT30_1_Raw_H,SHT30_2_Raw_T,SHT30_2_Raw_H,DS18B20_Temps,FL808_Flow_Rate_LPM,Timestamp
8193,738,None,None,None,None,None,None,1764880536.294689
None,None,24851,35435,24866,35503,None,None,1764880536.2947733
8193,738,None,None,None,None,None,None,1764880536.3949776
None,None,24851,35428,24866,35495,None,None,1764880536.3950732
8192,738,None,None,None,None,None,None,1764880536.49524
None,None,24862,35446,24871,35504,None,None,1764880536.4952962
8192,738,None,None,None,None,None,None,1764880536.5954523
None,None,24857,35429,24876,35515,None,None,1764880536.5955167
8192,738,None,None,None,None,None,None,1764880536.6957245
None,None,24857,35398,24876,35506,None,None,1764880536.6958172
None,None,None,None,None,None,"([21.5625, 21.1875, 21.6875], ['0725803e0940', '0725802957ca', '072580357fff'])",None,1764880536.6958737
8192,738,None,None,None,None,None,None,1764880536.796084
None,None,24851,35450,24876,35473,None,None,1764880536.7961736
8193,738,None,None,None,None,None,None,1764880536.8963912
None,None,24862,35470,24871,35480,None,None,1764880536.8964882
8193,739,None,None,None,None,None,None,1764880536.996663
None,None,24857,35414,24876,35506,None,None,1764880536.9967513
8192,739,None,None,None,None,None,None,1764880537.0969305
None,None,24851,35450,24881,35483,None,None,1764880537.0970144
8193,739,None,None,None,None,None,None,1764880537.1972206
None,None,24851,35435,24881,35491,None,None,1764880537.1973164
8192,739,None,None,None,None,None,None,1764880537.2974937
None,None,24851,35428,24876,35482,None,None,1764880537.2975504
8192,739,None,None,None,None,None,None,1764880537.3977304
None,None,24851,35428,24871,35471,None,None,1764880537.3978164
8193,739,None,None,None,None,None,None,1764880537.4980314
None,None,24846,35402,24876,35473,None,None,1764880537.4981232
8192,739,None,None,None,None,None,None,1764880537.598311
None,None,24851,35435,24871,35488,None,None,1764880537.5983877
8192,738,None,None,None,None,None,None,1764880537.698572
None,None,24851,35450,24881,35483,None,None,1764880537.6986344
8192,738,None,None,None,None,None,None,1764880537.7988389
None,None,24857,35414,24871,35497,None,None,1764880537.7989347
8192,739,None,None,None,None,None,None,1764880537.8991373
None,None,24857,35405,24881,35507,None,None,1764880537.8992262
8192,739,None,None,None,None,None,None,1764880537.999411
None,None,24857,35429,24871,35497,None,None,1764880537.9994926
8192,738,None,None,None,None,None,None,1764880538.0998616
None,None,24857,35437,24876,35506,None,None,1764880538.100036
8192,738,None,None,None,None,None,None,1764880538.2004178
None,None,24851,35428,24871,35513,None,None,1764880538.2006376
8192,738,None,None,None,None,None,None,1764880538.300954
None,None,24851,35411,24876,35458,None,None,1764880538.3010519
8192,739,None,None,None,None,None,None,1764880538.4014113
None,None,24846,35465,24871,35423,None,None,1764880538.4016457
8193,739,None,None,None,None,None,None,1764880538.5018954
None,None,24857,35468,24881,35474,None,None,1764880538.501959
8192,738,None,None,None,None,None,None,1764880538.602248
None,None,24857,35422,24876,35449,None,None,1764880538.602458
8192,738,None,None,None,None,None,None,1764880538.7029536
None,None,24846,35426,24876,35473,None,None,1764880538.7031252
8192,738,None,None,None,None,None,None,1764880538.8034925
None,None,24846,35441,24881,35483,None,None,1764880538.8037376
8192,738,None,None,None,None,None,None,1764880538.9039896
None,None,24862,35399,24871,35488,None,None,1764880538.9040513
8192,739,None,None,None,None,None,None,1764880539.0043397
None,None,24851,35411,24876,35473,None,None,1764880539.0045862
