MS4525_Raw_P,MS4525_Raw_T,SHT30_1_Raw_T,SHT30_1_Raw_H,SHT30_2_Raw_T,SHT30_2_Raw_H,DS18B20_Temps,FL808_Flow_Rate_LPM,Timestamp
8193,739,None,None,None,None,None,None,1764880517.9179506
None,None,24841,35510,24860,35591,None,None,1764880517.9181557
8193,739,None,None,None,None,None,None,1764880518.0184221
None,None,24836,35539,24855,35566,None,None,1764880518.0184855
8192,739,None,None,None,None,None,None,1764880518.1186798
None,None,24836,35524,24860,35551,None,None,1764880518.1188765
8192,739,None,None,None,None,None,None,1764880518.2190797
None,None,24846,35512,24860,35575,None,None,1764880518.2192822
8196,739,None,None,None,None,None,None,1764880518.319579
None,None,24841,35533,24866,35560,None,None,1764880518.319797
8196,739,None,None,None,None,None,None,1764880518.420056
None,None,24836,35524,24866,35600,None,None,1764880518.4201207
8193,739,None,None,None,None,None,None,1764880518.5203369
None,None,24846,35542,24871,35561,None,None,1764880518.52056
8192,739,None,None,None,None,None,None,1764880518.6207964
None,None,24836,35548,24860,35582,None,None,1764880518.6208906
8193,739,None,None,None,None,None,None,1764880518.7211158
None,None,24841,35510,24860,35567,None,None,1764880518.7212121
8196,739,None,None,None,None,None,None,1764880518.8214352
None,None,24836,35509,24866,35576,None,None,1764880518.8215294
8193,739,None,None,None,None,None,None,1764880518.9217708
None,None,24841,35518,24866,35584,None,None,1764880518.9218616
8192,739,None,None,None,None,None,None,1764880519.0220819
None,None,24841,35518,24866,35584,None,None,1764880519.0221767
8192,739,None,None,None,None,None,None,1764880519.1224055
None,None,24841,35510,24866,35560,None,None,1764880519.1225026
8196,739,None,None,None,None,None,None,1764880519.2227244
None,None,24836,35524,24866,35600,None,None,1764880519.2228205
8193,738,None,None,None,None,None,None,1764880519.3230424
None,None,24841,35503,24866,35569,None,None,1764880519.3231404
8193,738,None,None,None,None,None,None,1764880519.4233596
None,None,24841,35518,24860,35567,None,None,1764880519.4234526
8193,738,None,None,None,None,None,None,1764880519.523674
None,None,24830,35537,24866,35560,None,None,1764880519.5237687
8192,739,None,None,None,None,None,None,1764880519.6239762
None,None,24846,35519,24866,35584,None,None,1764880519.62404
None,None,None,None,None,None,"([21.5, 21.1875, 21.6875], ['0725803e0940', '0725802957ca', '072580357fff'])",None,1764880519.6240728
8196,739,None,None,None,None,None,None,1764880519.7242677
None,None,24841,35503,24866,35560,None,None,1764880519.7243571
8193,739,None,None,None,None,None,None,1764880519.8245473
None,None,24841,35486,24860,35558,None,None,1764880519.8246198
8196,739,None,None,None,None,None,None,1764880519.9248054
None,None,24846,35503,24866,35543,None,None,1764880519.9248898
8193,739,None,None,None,None,None,None,1764880520.025064
None,None,24836,35531,24860,35582,None,None,1764880520.0251346
8192,739,None,None,None,None,None,None,1764880520.1253204
None,None,24846,35519,24866,35543,None,None,1764880520.1254048
8192,739,None,None,None,None,None,None,1764880520.225597
None,None,24846,35527,24860,35575,None,None,1764880520.2256587
8192,739,None,None,None,None,None,None,1764880520.3258412
None,None,24841,35510,24866,35552,None,None,1764880520.3259284
8192,739,None,None,None,None,None,None,1764880520.4261174
None,None,24836,35516,24855,35573,None,None,1764880520.4261992
8192,739,None,None,None,None,None,None,1764880520.5264332
None,None,24836,35494,24860,35558,None,None,1764880520.5265248
8197,739,None,None,None,None,None,None,1764880520.6267402
None,None,24846,35488,24860,35558,None,None,1764880520.6268258
8196,739,None,None,None,None,None,None,1764880520.727002
None,None,24846,35512,24866,35552,None,None,1764880520.72706
8192,739,None,None,None,None,None,None,1764880520.82729
None,None,24841,35525,24866,35543,None,None,1764880520.8273866
8192,739,None,None,None,None,None,None,1764880520.9276042
None,None,24841,35525,24860,35551,None,None,1764880520.9276886
8196,739,None,None,None,None,None,None,1764880521.0278738
None,None,24841,35486,24866,35543,None,None,1764880521.0279593
8196,738,None,None,None,None,None,None,1764880521.1281598
None,None,24841,35503,24866,35560,None,None,1764880521.1283803
8193,738,None,None,None,None,None,None,1764880521.228569
None,None,24846,35495,24871,35561,None,None,1764880521.2286334
8196,738,None,None,None,None,None,None,1764880521.3288097
None,None,24846,35512,24860,35551,None,None,1764880521.3288696
8193,739,None,None,None,None,None,None,1764880521.429069
None,None,24846,35495,24860,35551,None,None,1764880521.4292555
8192,739,None,None,None,None,None,None,1764880521.5295258
None,None,24841,35486,24866,35543,None,None,1764880521.5297165
8192,739,None,None,None,None,None,None,1764880521.6299846
None,None,24836,35494,24871,35561,None,None,1764880521.6301708
8192,739,None,None,None,None,None,None,1764880521.7304235
None,None,24846,35512,24860,35567,None,None,1764880521.7304833
8193,739,None,None,None,None,None,None,1764880521.8307273
None,None,24836,35501,24871,35554,None,None,1764880521.8308253
8193,739,None,None,None,None,None,None,1764880521.9310384
None,None,24836,35509,24866,35543,None,None,1764880521.931136
8192,738,None,None,None,None,None,None,1764880522.031326
None,None,24841,35518,24866,35569,None,None,1764880522.0314088
8192,738,None,None,None,None,None,None,1764880522.1316142
None,None,24841,35494,24860,35575,None,None,1764880522.1316743
None,None,None,None,None,None,"([21.5625, 21.1875, 21.6875], ['0725803e0940', '0725802957ca', '072580357fff'])",None,1764880522.131708
8196,738,None,None,None,None,None,None,1764880522.2319934
None,None,24841,35494,24866,35552,None,None,1764880522.2321925
8196,739,None,None,None,None,None,None,1764880522.3324704
None,None,24841,35525,24871,35561,None,None,1764880522.3325686
8192,739,None,None,None,None,None,None,1764880522.4327776
None,None,24841,35533,24866,35560,None,None,1764880522.4328415
8192,739,None,None,None,None,None,None,1764880522.533053
None,None,24846,35503,24860,35542,None,None,1764880522.533273
8192,739,None,None,None,None,None,None,1764880522.6334949
None,None,24841,35486,24866,35560,None,None,1764880522.633702
8193,739,None,None,None,None,None,None,1764880522.7339218
None,None,24846,35488,24866,35560,None,None,1764880522.7341306
8192,739,None,None,None,None,None,None,1764880522.8343189
None,None,24846,35480,24866,35543,None,None,1764880522.8343813
8192,738,None,None,None,None,None,None,1764880522.9345965
None,None,24841,35525,24866,35552,None,None,1764880522.9347994
8193,738,None,None,None,None,None,None,1764880523.0350351
None,None,24846,35480,24871,35578,None,None,1764880523.035234
8193,738,None,None,None,None,None,None,1764880523.1354516
None,None,24846,35519,24866,35552,None,None,1764880523.1356611
8193,739,None,None,None,None,None,None,1764880523.2358584
None,None,24846,35465,24860,35510,None,None,1764880523.2359235
8193,739,None,None,None,None,None,None,1764880523.3361285
None,None,24851,35497,24871,35561,None,None,1764880523.3363423
8193,738,None,None,None,None,None,None,1764880523.436568
None,None,24841,35464,24866,35527,None,None,1764880523.436789
8196,738,None,None,None,None,None,None,1764880523.5372467
None,None,24841,35510,24866,35584,None,None,1764880523.5373402
8193,739,None,None,None,None,None,None,1764880523.6376486
None,None,24846,35480,24871,35561,None,None,1764880523.6377141
8192,739,None,None,None,None,None,None,1764880523.7380617
None,None,24851,35482,24876,35554,None,None,1764880523.7382712
8192,738,None,None,None,None,None,None,1764880523.8387759
None,None,24846,35480,24860,35542,None,None,1764880523.839021
8192,738,None,None,None,None,None,None,1764880523.9393373
None,None,24841,35464,24866,35543,None,None,1764880523.9394026
8192,738,None,None,None,None,None,None,1764880524.0397136
None,None,24846,35512,24866,35527,None,None,1764880524.039969
8193,739,None,None,None,None,None,None,1764880524.1404226
None,None,24841,35464,24866,35512,None,None,1764880524.1406968
8193,739,None,None,None,None,None,None,1764880524.2411695
None,None,24841,35503,24871,35537,None,None,1764880524.2414236
8193,738,None,None,None,None,None,None,1764880524.3419192
None,None,24841,35486,24866,35569,None,None,1764880524.341989
8196,738,None,None,None,None,None,None,1764880524.4422789
None,None,24841,35518,24866,35552,None,None,1764880524.4425306
8196,738,None,None,None,None,None,None,1764880524.543007
None,None,24846,35519,24871,35554,None,None,1764880524.543213
None,None,None,None,None,None,"([21.5625, 21.1875, 21.6875], ['0725803e0940', '0725802957ca', '072580357fff'])",None,1764880524.5434675
8193,738,None,None,None,None,None,None,1764880524.6438916
None,None,24846,35495,24860,35534,None,None,1764880524.6441352
8192,738,None,None,None,None,None,None,1764880524.7444487
None,None,24846,35480,24876,35572,None,None,1764880524.7445135
8193,738,None,None,None,None,None,None,1764880524.844829
None,None,24846,35488,24871,35545,None,None,1764880524.8450937
8193,738,None,None,None,None,None,None,1764880524.945524
None,None,24846,35503,24871,35545,None,None,1764880524.9457817
8193,739,None,None,None,None,None,None,1764880525.0462554
None,None,24846,35495,24860,35558,None,None,1764880525.046522
8192,739,None,None,None,None,None,None,1764880525.1469896
None,None,24846,35473,24866,35543,None,None,1764880525.1473064
8192,738,None,None,None,None,None,None,1764880525.2477968
None,None,24836,35462,24871,35570,None,None,1764880525.2481003
8193,738,None,None,None,None,None,None,1764880525.3486044
None,None,24846,35480,24866,35543,None,None,1764880525.348789
8193,739,None,None,None,None,None,None,1764880525.4490626
None,None,24841,35486,24860,35542,None,None,1764880525.4491234
8190,739,None,None,None,None,None,None,1764880525.5494256
None,None,24846,35456,24866,35560,None,None,1764880525.5496373
8192,738,None,None,None,None,None,None,1764880525.6500094
None,None,24846,35495,24876,35522,None,None,1764880525.6502695
8192,738,None,None,None,None,None,None,1764880525.7505295
None,None,24851,35497,24866,35543,None,None,1764880525.750593
8193,738,None,None,None,None,None,None,1764880525.8508208
None,None,24851,35489,24871,35585,None,None,1764880525.8509235
