MS4525_Raw_P,MS4525_Raw_T,SHT30_1_Raw_T,SHT30_1_Raw_H,SHT30_2_Raw_T,SHT30_2_Raw_H,DS18B20_Temps,Timestamp
8188,852,25200,33949,25187,34420,"[22.125, 21.6875, 22.125]",1764792096.9432561
8184,852,25205,33965,25193,34388,"[22.125, 21.6875, 22.1875]",1764792099.407405
8186,852,25200,33956,25187,34420,"[22.1875, 21.6875, 22.1875]",1764792101.839239
8186,852,25200,33971,25193,34430,"[22.1875, 21.6875, 22.1875]",1764792104.2389388
8186,852,25205,33958,25193,34405,"[22.1875, 21.6875, 22.1875]",1764792106.6393032
8184,852,25195,33955,25177,34385,"[22.1875, 21.75, 22.1875]",1764792109.0392098
8186,852,25210,33952,25187,34420,"[22.1875, 21.6875, 22.1875]",1764792111.535222
8186,852,25205,33950,25193,34405,"[22.1875, 21.75, 22.1875]",1764792113.9351132
8186,852,25210,33974,25187,34436,"[22.1875, 21.75, 22.1875]",1764792116.335428
8184,852,25195,33979,25193,34414,"[22.1875, 21.75, 22.1875]",1764792118.7352445
8188,852,25205,33965,25193,34414,"[22.1875, 21.75, 22.1875]",1764792121.1355138
8186,852,25210,33959,25182,34418,"[22.1875, 21.75, 22.1875]",1764792123.6311564
8188,851,25210,33959,25193,34396,"[22.1875, 21.75, 22.1875]",1764792126.0314207
8186,851,25205,33958,25199,34415,"[22.1875, 21.75, 22.1875]",1764792128.4319708
8184,852,25205,33965,25193,34414,"[22.1875, 21.75, 22.1875]",1764792130.8313847
8186,851,25205,33965,25193,34405,"[22.1875, 21.75, 22.1875]",1764792133.2949169
8186,851,25205,33973,25193,34414,"[22.1875, 21.75, 22.1875]",1764792135.7280276
8184,851,25200,33949,25204,34417,"[22.1875, 21.75, 22.1875]",1764792138.147261
8186,851,25210,33974,25193,34396,"[22.1875, 21.75, 22.1875]",1764792140.5591593
