MS4525_Raw_P,MS4525_Raw_T,SHT30_1_Raw_T,SHT30_1_Raw_H,SHT30_2_Raw_T,SHT30_2_Raw_H,DS18B20_Temps,Timestamp
8196,751,25258,31748,25103,32518,"[22.3125, 21.8125, 22.375]",1764797305.065174
8196,751,25268,31768,25103,32545,"[22.3125, 21.8125, 22.375]",1764797307.4650002
8192,751,25263,31775,25103,32518,"[22.3125, 21.8125, 22.375]",1764797309.897069
8192,750,25268,31759,25103,32528,"[22.3125, 21.8125, 22.375]",1764797312.2972562
8193,751,25263,31741,25119,32549,"[22.3125, 21.8125, 22.375]",1764797314.7930672
8193,751,25274,31753,25113,32512,"[22.3125, 21.8125, 22.375]",1764797317.1931093
8192,750,25274,31760,25108,32530,"[22.3125, 21.8125, 22.375]",1764797319.5928268
8192,751,25279,31762,25108,32519,"[22.3125, 21.8125, 22.375]",1764797321.9931939
8193,751,25284,31780,25119,32513,"[22.3125, 21.8125, 22.375]",1764797324.3932796
