MS4525_Raw_P,MS4525_Raw_T,SHT30_1_Raw_T,SHT30_1_Raw_H,SHT30_2_Raw_T,SHT30_2_Raw_H,DS18B20_Temps,Timestamp
8196,786,25743,30086,25478,31385,[],1764798695.4160118
8192,786,25743,30077,25499,31390,[],1764798695.5167258
8192,786,25743,30068,25494,31388,[],1764798695.6173053
8192,786,25743,30077,25504,31364,[],1764798695.7178197
8192,786,25748,30104,25494,31370,[],1764798695.8184068
8192,786,25748,30112,25499,31399,[],1764798695.9190385
8196,786,25748,30079,25499,31372,[],1764798696.0196137
8193,786,25748,30104,25494,31363,[],1764798696.120733
8192,786,25743,30044,25494,31388,[],1764798696.2211971
8196,786,25748,30104,25504,31400,[],1764798696.3218098
8192,786,25748,30112,25499,31354,[],1764798696.4227633
8192,786,25748,30095,25510,31393,[],1764798696.5238886
8192,786,25748,30079,25499,31372,[],1764798696.6247008
8192,786,25743,30086,25504,31373,[],1764798696.7258127
8192,786,25748,30070,25504,31382,[],1764798696.8270652
8192,786,25748,30079,25499,31408,[],1764798696.9280958
8192,786,25743,30052,25510,31375,[],1764798697.0290806
8192,786,25754,30139,25504,31382,[],1764798697.1300366
8192,786,25748,30104,25510,31382,[],1764798697.2310216
8193,786,25754,30097,25499,31364,[],1764798697.3322668
8193,786,25759,30115,25510,31409,[],1764798697.4332929
8193,786,25754,30106,25499,31345,[],1764798697.534238
8196,786,25748,30053,25504,31337,[],1764798697.6352232
8192,786,25748,30137,25504,31400,[],1764798697.73613
8192,786,25754,30106,25510,31382,[],1764798697.8370209
8192,786,25759,30098,25515,31384,[],1764798697.9381423
8192,786,25748,30062,25499,31372,[],1764798698.0392835
8192,786,25748,30088,25510,31382,[],1764798698.1403937
8193,786,25759,30064,25504,31373,[],1764798698.2411685
8192,786,25748,30095,25510,31375,[],1764798698.3618672
8193,786,25748,30112,25499,31372,[],1764798698.4629235
8192,786,25759,30064,25504,31364,[],1764798698.563971
8193,786,25754,30097,25510,31382,[],1764798698.6648495
8193,786,25748,30070,25504,31364,[],1764798698.7657373
8192,786,25754,30106,25499,31372,[],1764798698.8668349
