MS4525_Raw_P,MS4525_Raw_T,SHT30_1_Raw_T,SHT30_1_Raw_H,SHT30_2_Raw_T,SHT30_2_Raw_H,DS18B20_Temps,Timestamp
8190,748,25205,31652,25103,32272,[],1764797601.1420372
8192,748,25205,31643,25108,32264,[],1764797601.242784
8192,748,25200,31625,25103,32290,[],1764797601.3434625
8192,748,25210,31636,25098,32281,[],1764797601.44422
8192,748,25200,31634,25103,32272,[],1764797601.5448964
8190,748,25216,31612,25108,32264,[],1764797601.6457086
8190,748,25216,31604,25103,32282,[],1764797601.7464042
8190,748,25210,31612,25108,32264,[],1764797601.847373
8190,748,25210,31603,25113,32275,[],1764797601.9481373
8190,748,25210,31612,25103,32290,[],1764797602.0486665
8190,748,25216,31637,25108,32248,[],1764797602.14931
8190,748,25216,31637,25113,32266,[],1764797602.249852
8190,748,25205,31627,25108,32282,[],1764797602.350385
8190,748,25216,31637,25108,32264,[],1764797602.450926
8190,748,25210,31636,25103,32290,[],1764797602.551633
8190,748,25221,31655,25113,32266,[],1764797602.6522312
8192,748,25221,31639,25103,32246,[],1764797602.7528372
8190,748,25205,31610,25108,32264,[],1764797602.853393
8192,748,25210,31628,25103,32299,[],1764797602.9538968
8192,748,25210,31628,25113,32293,[],1764797603.0545027
8190,748,25221,31655,25113,32293,[],1764797603.1551042
8193,748,25221,31613,25108,32282,[],1764797603.2556636
8193,748,25205,31627,25108,32257,[],1764797603.3563128
8190,748,25216,31646,25103,32272,[],1764797603.456919
8190,748,25216,31646,25103,32272,[],1764797603.5750473
8192,748,25216,31646,25113,32257,[],1764797603.6766806
8190,748,25221,31639,25113,32257,[],1764797603.779349
8192,748,25221,31655,25119,32294,[],1764797603.8807075
8192,748,25210,31619,25124,32287,[],1764797603.9822228
8190,748,25216,31621,25113,32275,[],1764797604.0836155
8190,748,25221,31613,25108,32300,[],1764797604.1847832
8190,748,25210,31594,25108,32318,[],1764797604.286331
8190,748,25216,31595,25119,32276,[],1764797604.3877532
8190,748,25216,31621,25108,32300,[],1764797604.4886763
8188,748,25216,31646,25113,32275,[],1764797604.5903678
8190,748,25216,31612,25119,32294,[],1764797604.6923275
8192,748,25221,31639,25113,32293,[],1764797604.7938955
8196,748,25221,31648,25113,32293,[],1764797604.8952084
8190,748,25216,31646,25108,32300,[],1764797604.9968529
8188,748,25221,31613,25119,32276,[],1764797605.0982895
8192,748,25216,31630,25119,32302,[],1764797605.1995845
8190,748,25216,31588,25119,32302,[],1764797605.3009207
8188,748,25221,31622,25124,32296,[],1764797605.4020689
8193,748,25216,31646,25119,32312,[],1764797605.5034318
8196,748,25210,31636,25108,32291,[],1764797605.604802
8192,748,25221,31655,25113,32300,[],1764797605.7063425
8192,748,25210,31603,25108,32291,[],1764797605.8082871
8193,748,25216,31612,25113,32293,[],1764797605.9094017
8193,748,25216,31630,25108,32264,[],1764797606.0106523
8190,748,25216,31621,25119,32294,[],1764797606.112191
8192,748,25216,31612,25124,32296,[],1764797606.213591
8193,748,25221,31655,25119,32312,[],1764797606.3203828
8192,748,25216,31621,25124,32330,[],1764797606.4213064
8192,748,25216,31612,25108,32318,[],1764797606.522726
8192,748,25216,31637,25113,32311,[],1764797606.6240678
8196,748,25216,31595,25129,32288,[],1764797606.7253654
8236,748,25216,31621,25119,32312,[],1764797606.8267367
8264,748,25221,31588,25119,32294,[],1764797606.9280376
8270,748,25210,31619,25113,32300,[],1764797607.029313
8299,748,25221,31630,25113,32327,[],1764797607.1306581
8279,748,25210,31636,25113,32300,[],1764797607.231842
8292,748,25216,31637,25119,32329,[],1764797607.333281
8272,748,25216,31612,25108,32326,[],1764797607.4353511
8157,748,25221,31613,25113,32293,[],1764797607.5368395
7685,748,25210,31612,25113,32327,[],1764797607.63806
7343,748,25216,31646,25124,32276,[],1764797607.7399402
7244,748,25226,31631,25124,32330,[],1764797607.8435605
7234,748,25226,31631,25124,32314,[],1764797607.944914
7234,748,25210,31636,25119,32320,[],1764797608.0461674
7221,748,25210,31612,25119,32312,[],1764797608.1471703
7204,748,25221,31613,25113,32327,[],1764797608.2485554
7200,748,25216,31595,25119,32320,[],1764797608.3500063
7196,748,25216,31595,25124,32321,[],1764797608.4513376
7208,748,25226,31631,25124,32321,[],1764797608.552679
7178,748,25216,31612,25113,32311,[],1764797608.654125
7149,748,25226,31607,25124,32314,[],1764797608.755457
7115,748,25216,31621,25113,32320,[],1764797608.8564594
7054,748,25221,31606,25113,32327,[],1764797608.9581654
7017,748,25221,31622,25119,32329,[],1764797609.0828164
6991,748,25221,31606,25113,32311,[],1764797609.1835594
6979,748,25216,31595,25124,32338,[],1764797609.2848568
6976,748,25221,31597,25113,32327,[],1764797609.3861628
6982,748,25226,31624,25119,32329,[],1764797609.4877295
7011,748,25216,31612,25113,32327,[],1764797609.589193
6988,748,25221,31588,25129,32332,[],1764797609.6904085
6955,748,25221,31613,25119,32294,[],1764797609.791692
6912,748,25226,31624,25113,32320,[],1764797609.892672
6883,748,25221,31597,25113,32327,[],1764797609.994529
6859,748,25221,31613,25113,32345,[],1764797610.095728
