MS4525_Raw_P,MS4525_Raw_T,SHT30_1_Raw_T,SHT30_1_Raw_H,SHT30_2_Raw_T,SHT30_2_Raw_H,DS18B20_Temps,Timestamp
8193,749,25268,31892,25108,33091,"[22.3125, 21.8125, 22.375]",1764797102.2490883
8190,749,25268,31876,25113,33110,"[22.3125, 21.8125, 22.375]",1764797104.649221
8190,749,25268,31892,25113,33092,"[22.3125, 21.8125, 22.375]",1764797107.049243
8190,749,25268,31868,25119,33103,"[22.3125, 21.8125, 22.375]",1764797109.54497
8190,749,25279,31879,25113,33137,"[22.375, 21.8125, 22.375]",1764797111.9450436
8190,749,25274,31837,25124,33086,"[22.3125, 21.8125, 22.375]",1764797114.345263
8192,749,25274,31853,25119,33085,"[22.3125, 21.8125, 22.375]",1764797116.745258
8190,749,25274,31886,25113,33092,"[22.375, 21.8125, 22.375]",1764797119.225169
8192,749,25274,31862,25113,33110,"[22.3125, 21.8125, 22.375]",1764797121.673167
8190,749,25274,31870,25124,33094,"[22.3125, 21.8125, 22.375]",1764797124.0730104
8190,749,25274,31877,25119,33103,"[22.3125, 21.8125, 22.375]",1764797126.4777772
8190,749,25274,31870,25124,33113,"[22.375, 21.8125, 22.375]",1764797128.8729675
8190,749,25284,31873,25119,33139,"[22.3125, 21.8125, 22.375]",1764797131.4025083
8192,749,25268,31861,25119,33119,"[22.375, 21.8125, 22.375]",1764797133.832953
8192,749,25284,31864,25119,33139,"[22.375, 21.8125, 22.375]",1764797136.2332325
8188,749,25279,31879,25119,33130,"[22.3125, 21.8125, 22.375]",1764797138.6331482
8190,749,25274,31853,25113,33137,"[22.3125, 21.8125, 22.375]",1764797141.032959
8192,749,25274,31870,25119,33119,"[22.375, 21.8125, 22.375]",1764797143.528991
8190,749,25268,31901,25124,33104,"[22.3125, 21.8125, 22.375]",1764797145.9290013
8190,749,25284,31880,25124,33131,"[22.3125, 21.8125, 22.375]",1764797148.3291295
8192,749,25289,31858,25119,33119,"[22.375, 21.8125, 22.375]",1764797150.7291563
8192,749,25279,31871,25124,33148,"[22.375, 21.8125, 22.375]",1764797153.1290398
8192,749,25279,31879,25119,33146,"[22.375, 21.8125, 22.375]",1764797155.6249485
8192,749,25274,31862,25119,33119,"[22.375, 21.8125, 22.375]",1764797158.0257144
8192,749,25274,31870,25124,33131,"[22.375, 21.8125, 22.375]",1764797160.4247873
8190,749,25284,31873,25119,33130,"[22.3125, 21.8125, 22.375]",1764797162.8256402
8190,749,25284,31864,25113,33145,"[22.3125, 21.8125, 22.375]",1764797165.2893498
8190,749,25279,31879,25124,33121,"[22.3125, 21.8125, 22.375]",1764797167.7210653
8190,749,25279,31879,25119,33139,"[22.3125, 21.8125, 22.375]",1764797170.1210806
8190,749,25279,31871,25119,33130,"[22.3125, 21.8125, 22.375]",1764797172.521014
8190,749,25284,31856,25129,33149,"[22.375, 21.8125, 22.375]",1764797174.9218056
8192,749,25284,31873,25119,33164,"[22.375, 21.8125, 22.375]",1764797177.4168944
8193,749,25279,31886,25129,33122,"[22.375, 21.8125, 22.375]",1764797179.8168738
8193,749,25284,31888,25124,33148,"[22.375, 21.8125, 22.375]",1764797182.2170932
8192,749,25274,31877,25124,33104,"[22.3125, 21.8125, 22.375]",1764797184.6169567
8192,749,25279,31855,25119,33130,"[22.3125, 21.8125, 22.375]",1764797187.017306
8192,749,25289,31889,25119,33139,"[22.375, 21.8125, 22.375]",1764797189.5130415
8193,749,25279,31879,25124,33121,"[22.375, 21.8125, 22.375]",1764797191.912922
8193,749,25284,31856,25124,33148,"[22.375, 21.8125, 22.375]",1764797194.313208
8192,749,25284,31873,25124,33157,"[22.375, 21.8125, 22.375]",1764797196.7130246
8193,749,25284,31880,25134,33151,"[22.3125, 21.8125, 22.375]",1764797199.1770997
8193,749,25284,31864,25124,33104,"[22.3125, 21.8125, 22.375]",1764797201.6089437
8190,749,25279,31829,25124,33121,"[22.3125, 21.8125, 22.375]",1764797204.0088
8192,749,25289,31874,25129,33133,"[22.3125, 21.8125, 22.375]",1764797206.4088395
8192,749,25284,31864,25129,33149,"[22.3125, 21.8125, 22.375]",1764797208.808882
8190,749,25274,31853,25129,33122,"[22.375, 21.8125, 22.375]",1764797211.3050668
8192,749,25284,31873,25124,33148,"[22.3125, 21.8125, 22.375]",1764797213.7049038
8193,749,25279,31879,25124,33157,"[22.3125, 21.8125, 22.375]",1764797216.1050506
8193,749,25279,31846,25129,33113,"[22.375, 21.8125, 22.375]",1764797218.504931
