MS4525_Raw_P,MS4525_Raw_T,SHT30_1_Raw_T,SHT30_1_Raw_H,SHT30_2_Raw_T,SHT30_2_Raw_H,DS18B20_Temps,Timestamp
8179,771,25157,33124,25166,33124,"[22.125, 21.8125, 22.1875]",1764793108.5911613
8178,771,25173,33136,25166,33131,"[22.1875, 21.8125, 22.1875]",1764793110.9912524
8179,771,25157,33107,25166,33124,"[22.1875, 21.8125, 22.25]",1764793113.3910863
8179,772,25167,33092,25161,33104,"[22.1875, 21.875, 22.25]",1764793115.8555
8179,771,25167,33101,25166,33142,"[22.1875, 21.875, 22.25]",1764793118.286935
8180,771,25162,33109,25171,33143,"[22.1875, 21.875, 22.25]",1764793120.6871836
8179,772,25167,33101,25177,33118,"[22.1875, 21.875, 22.25]",1764793123.0882864
8179,772,25167,33134,25171,33151,"[22.1875, 21.875, 22.25]",1764793125.488494
8180,772,25167,33118,25177,33152,"[22.1875, 21.875, 22.25]",1764793128.023006
8179,772,25173,33119,25182,33136,"[22.1875, 21.875, 22.25]",1764793130.415047
8179,772,25178,33130,25171,33160,"[22.1875, 21.8125, 22.25]",1764793132.815265
8179,772,25162,33116,25177,33125,"[22.1875, 21.875, 22.25]",1764793135.21541
8179,772,25173,33103,25177,33118,"[22.1875, 21.8125, 22.25]",1764793137.6478908
8179,771,25167,33118,25166,33142,"[22.1875, 21.8125, 22.25]",1764793140.1439495
8179,771,25173,33145,25171,33133,"[22.1875, 21.8125, 22.25]",1764793142.5429268
8180,772,25173,33154,25177,33125,"[22.1875, 21.875, 22.25]",1764793144.9433222
8179,772,25167,33134,25171,33124,"[22.1875, 21.875, 22.25]",1764793147.342982
8179,771,25173,33119,25171,33116,"[22.1875, 21.875, 22.25]",1764793149.8072076
8178,771,25178,33121,25177,33145,"[22.1875, 21.875, 22.25]",1764793152.2392015
8179,771,25167,33118,25177,33118,"[22.1875, 21.875, 22.25]",1764793154.6389349
8179,771,25167,33109,25171,33143,"[22.1875, 21.875, 22.25]",1764793157.0396247
8178,771,25173,33103,25177,33107,"[22.1875, 21.875, 22.25]",1764793159.4393747
8179,771,25173,33094,25177,33134,"[22.1875, 21.8125, 22.25]",1764793162.734926
8178,771,25167,33101,25177,33152,"[22.1875, 21.875, 22.25]",1764793165.1352036
8178,771,25173,33128,25171,33143,"[22.1875, 21.8125, 22.25]",1764793167.5352337
8178,771,25173,33128,25171,33106,"[22.1875, 21.875, 22.25]",1764793169.9350946
