MS4525_Raw_P,MS4525_Raw_T,SHT30_1_Raw_T,SHT30_1_Raw_H,SHT30_2_Raw_T,SHT30_2_Raw_H,DS18B20_Temps,Timestamp
8175,751,25110,32894,25199,32576,"[22.375, 21.3125, 22.25]",1764795130.6711068
8179,751,25110,32894,25209,32597,"[22.375, 21.3125, 22.25]",1764795133.0716324
8179,750,25104,32858,25209,32545,"[22.375, 21.3125, 22.25]",1764795135.4716346
8179,751,25110,32869,25214,32563,"[22.375, 21.3125, 22.25]",1764795137.967868
8176,751,25104,32909,25204,32578,"[22.375, 21.3125, 22.25]",1764795140.3679082
8178,750,25110,32860,25209,32579,"[22.375, 21.3125, 22.25]",1764795142.7678642
