MS4525_Raw_P,MS4525_Raw_T,SHT30_1_Raw_T,SHT30_1_Raw_H,SHT30_2_Raw_T,SHT30_2_Raw_H,DS18B20_Temps,FL808_Flow_Rate_LPM,Timestamp
8193,742,None,None,None,None,None,None,1764879875.475715
None,None,24914,35569,24944,35647,None,None,1764879875.4759216
8192,742,None,None,None,None,None,None,1764879875.5761912
None,None,24909,35582,24944,35630,None,None,1764879875.5762558
8196,742,None,None,None,None,None,None,1764879875.6764486
None,None,24909,35599,24944,35647,None,None,1764879875.676668
8192,742,None,None,None,None,None,None,1764879875.7770133
None,None,24920,35585,24939,35596,None,None,1764879875.7772374
8192,741,None,None,None,None,None,None,1764879875.877554
None,None,24914,35600,24950,35608,None,None,1764879875.877832
8192,741,None,None,None,None,None,None,1764879875.9781432
None,None,24914,35554,24955,35618,None,None,1764879875.9783337
8192,742,None,None,None,None,None,None,1764879876.078532
None,None,24914,35576,24950,35617,None,None,1764879876.078751
8193,742,None,None,None,None,None,None,1764879876.1790435
None,None,24914,35584,24950,35632,None,None,1764879876.1792617
8192,742,None,None,None,None,None,None,1764879876.2795417
None,None,24920,35585,24955,35641,None,None,1764879876.279612
8192,742,None,None,None,None,None,None,1764879876.3798048
None,None,24914,35576,24955,35650,None,None,1764879876.3800323
8193,742,None,None,None,None,None,None,1764879876.4803216
None,None,24909,35567,24960,35618,None,None,1764879876.4805763
8193,742,None,None,None,None,None,None,1764879876.5809336
None,None,24925,35557,24955,35618,None,None,1764879876.5811408
8192,742,None,None,None,None,None,None,1764879876.6814346
None,None,24914,35576,24944,35605,None,None,1764879876.6816492
8193,742,None,None,None,None,None,None,1764879876.7819138
None,None,24914,35569,24944,35623,None,None,1764879876.7819803
8193,742,None,None,None,None,None,None,1764879876.8821716
None,None,24920,35594,24955,35657,None,None,1764879876.8823872
8193,742,None,None,None,None,None,None,1764879876.9826746
None,None,24920,35578,24944,35605,None,None,1764879876.982879
8192,742,None,None,None,None,None,None,1764879877.0831723
None,None,24909,35591,24965,35620,None,None,1764879877.0833745
8190,742,None,None,None,None,None,None,1764879877.1836662
None,None,24920,35585,24955,35626,None,None,1764879877.1838894
8192,742,None,None,None,None,None,None,1764879877.284114
None,None,24920,35563,24950,35624,None,None,1764879877.2841842
8192,742,None,None,None,None,None,None,1764879877.3853328
None,None,24920,35578,24960,35642,None,None,1764879877.3854635
8193,742,None,None,None,None,None,None,1764879877.485686
None,None,24920,35578,24955,35650,None,None,1764879877.4859164
8193,742,None,None,None,None,None,None,1764879877.5862257
None,None,24925,35579,24955,35618,None,None,1764879877.586449
8193,742,None,None,None,None,None,None,1764879877.6867313
None,None,24920,35531,24950,35632,None,None,1764879877.6867976
8193,742,None,None,None,None,None,None,1764879877.7870018
None,None,24920,35563,24955,35626,None,None,1764879877.7872229
None,None,None,None,None,None,"([21.875, 21.25, 22.125], ['0725803e0940', '0725802957ca', '072580357fff'])",None,1764879877.7873673
8193,742,None,None,None,None,None,None,1764879877.887581
None,None,24914,35584,24950,35617,None,None,1764879877.887791
8192,742,None,None,None,None,None,None,1764879877.9880762
None,None,24925,35596,24955,35618,None,None,1764879877.9882913
8192,742,None,None,None,None,None,None,1764879878.088562
None,None,24914,35569,24955,35657,None,None,1764879878.08863
8192,742,None,None,None,None,None,None,1764879878.18883
None,None,24914,35593,24955,35626,None,None,1764879878.1890519
8193,742,None,None,None,None,None,None,1764879878.28927
None,None,24920,35570,24950,35656,None,None,1764879878.2894795
8196,742,None,None,None,None,None,None,1764879878.38977
None,None,24914,35593,24960,35627,None,None,1764879878.3899825
8193,742,None,None,None,None,None,None,1764879878.4901922
None,None,24920,35570,24950,35648,None,None,1764879878.4904017
8192,742,None,None,None,None,None,None,1764879878.590662
None,None,24925,35549,24955,35633,None,None,1764879878.590726
8193,742,None,None,None,None,None,None,1764879878.6909084
None,None,24920,35585,24950,35648,None,None,1764879878.691108
8193,742,None,None,None,None,None,None,1764879878.7913952
None,None,24920,35578,24960,35642,None,None,1764879878.7916093
8193,742,None,None,None,None,None,None,1764879878.8918257
None,None,24925,35572,24950,35632,None,None,1764879878.8920352
8192,742,None,None,None,None,None,None,1764879878.9923193
None,None,24925,35611,24960,35651,None,None,1764879878.9925303
