MS4525_Raw_P,MS4525_Raw_T,SHT30_1_Raw_T,SHT30_1_Raw_H,SHT30_2_Raw_T,SHT30_2_Raw_H,DS18B20_Temps,Timestamp
0,0,None,None,None,None,[],1764800914.5662265
0,0,None,None,None,None,[],1764800914.6672323
0,0,None,None,None,None,[],1764800914.768175
0,0,None,None,None,None,[],1764800914.8709826
0,0,None,None,None,None,[],1764800914.9723735
0,0,None,None,None,None,[],1764800915.0733929
0,0,None,None,None,None,[],1764800915.1741946
0,0,None,None,None,None,[],1764800915.2749813
0,0,None,None,None,None,[],1764800915.3758173
0,0,None,None,None,None,[],1764800915.47664
0,0,None,None,None,None,[],1764800915.5776215
0,0,None,None,None,None,[],1764800915.6785429
0,0,None,None,None,None,[],1764800915.7793658
0,0,None,None,None,None,[],1764800915.8801742
0,0,None,None,None,None,[],1764800915.981079
0,0,None,None,None,None,[],1764800916.0816057
0,0,None,None,None,None,[],1764800916.182053
0,0,None,None,None,None,[],1764800916.2826312
0,0,None,None,None,None,[],1764800916.3834372
0,0,None,None,None,None,[],1764800916.4843614
0,0,None,None,None,None,[],1764800916.5852883
0,0,None,None,None,None,[],1764800916.6862435
0,0,None,None,None,None,[],1764800916.787144
0,0,None,None,None,None,[],1764800916.8898416
0,0,None,None,None,None,[],1764800916.9907684
0,0,None,None,None,None,[],1764800917.091652
0,0,None,None,None,None,[],1764800917.193134
0,0,None,None,None,None,[],1764800917.2939343
0,0,None,None,None,None,[],1764800917.3945677
0,0,None,None,None,None,[],1764800917.4955106
0,0,None,None,None,None,[],1764800917.596139
0,0,None,None,None,None,[],1764800917.6970162
0,0,None,None,None,None,[],1764800917.7978005
0,0,None,None,None,None,[],1764800917.8986378
0,0,None,None,None,None,[],1764800917.9995184
0,0,None,None,None,None,[],1764800918.100447
0,0,None,None,None,None,[],1764800918.2011423
0,0,None,None,None,None,[],1764800918.3019984
0,0,None,None,None,None,[],1764800918.4029186
0,0,None,None,None,None,[],1764800918.503818
0,0,None,None,None,None,[],1764800918.6047237
0,0,None,None,None,None,[],1764800918.7054396
0,0,None,None,None,None,[],1764800918.806318
0,0,None,None,None,None,[],1764800918.9078643
0,0,None,None,None,None,[],1764800919.008758
0,0,None,None,None,None,[],1764800919.112547
0,0,None,None,None,None,[],1764800919.213087
0,0,None,None,None,None,[],1764800919.3138626
0,0,None,None,None,None,[],1764800919.414569
0,0,None,None,None,None,[],1764800919.5154593
0,0,None,None,None,None,[],1764800919.616244
0,0,None,None,None,None,[],1764800919.718694
0,0,None,None,None,None,[],1764800919.819426
0,0,None,None,None,None,[],1764800919.9202151
0,0,None,None,None,None,[],1764800920.0211065
0,0,None,None,None,None,[],1764800920.1223497
0,0,None,None,None,None,[],1764800920.223162
0,0,None,None,None,None,[],1764800920.324013
0,0,None,None,None,None,[],1764800920.4247425
0,0,None,None,None,None,[],1764800920.5466747
0,0,None,None,None,None,[],1764800920.6476495
0,0,None,None,None,None,[],1764800920.7485654
0,0,None,None,None,None,[],1764800920.852778
0,0,None,None,None,None,[],1764800920.9534974
0,0,None,None,None,None,[],1764800921.0544372
0,0,None,None,None,None,[],1764800921.1553533
0,0,None,None,None,None,[],1764800921.256295
0,0,None,None,None,None,[],1764800921.3571064
0,0,None,None,None,None,[],1764800921.460527
0,0,None,None,None,None,[],1764800921.5610085
0,0,None,None,None,None,[],1764800921.6615784
0,0,None,None,None,None,[],1764800921.7621825
0,0,None,None,None,None,[],1764800921.8626869
0,0,None,None,None,None,[],1764800921.9632404
0,0,None,None,None,None,[],1764800922.0637753
0,0,None,None,None,None,[],1764800922.16426
0,0,None,None,None,None,[],1764800922.2647386
0,0,None,None,None,None,[],1764800922.3652384
0,0,None,None,None,None,[],1764800922.4657273
0,0,None,None,None,None,[],1764800922.566278
0,0,None,None,None,None,[],1764800922.6667306
0,0,None,None,None,None,[],1764800922.7675884
0,0,None,None,None,None,[],1764800922.8681273
0,0,None,None,None,None,[],1764800922.9685838
0,0,None,None,None,None,[],1764800923.069127
0,0,None,None,None,None,[],1764800923.1697474
0,0,None,None,None,None,[],1764800923.2702823
0,0,None,None,None,None,[],1764800923.3708055
