MS4525_Raw_P,MS4525_Raw_T,SHT30_1_Raw_T,SHT30_1_Raw_H,SHT30_2_Raw_T,SHT30_2_Raw_H,DS18B20_Temps,Timestamp
8197,744,25268,36728,25134,37730,"[22.4375, 20.6875, 22.0625]",1764732671.013547
8197,744,25274,36745,25140,37742,"[22.4375, 20.6875, 22.0625]",1764732673.4135983
8194,744,25268,36758,25134,37748,"[22.5, 20.6875, 22.0625]",1764732675.8136024
8194,744,25268,36728,25145,37718,"[22.5, 20.6875, 22.0625]",1764732678.3094409
8192,744,25274,36745,25145,37744,"[22.5, 20.6875, 22.0625]",1764732680.7096183
8194,744,25279,36763,25145,37744,"[22.5, 20.6875, 22.0625]",1764732683.1176238
8196,744,25279,36746,25140,37732,"[22.5, 20.6875, 22.0625]",1764732685.5094872
8196,744,25279,36763,25145,37744,"[22.5, 20.6875, 22.0625]",1764732687.9098284
8196,744,25274,36730,25150,37720,"[22.5, 20.6875, 22.0625]",1764732690.4062176
