MS4525_Raw_P,MS4525_Raw_T,SHT30_1_Raw_T,SHT30_1_Raw_H,SHT30_2_Raw_T,SHT30_2_Raw_H,DS18B20_Temps,Timestamp
8196,756,25226,39254,25251,39190,[],1764733963.8304484
8194,756,25237,39229,25251,39197,[],1764733963.9309247
8196,756,25232,39256,25241,39179,[],1764733964.0313714
8197,756,25237,39244,25251,39182,[],1764733964.1318662
8196,756,25232,39256,25251,39190,[],1764733964.2324014
8194,756,25226,39247,25256,39176,[],1764733964.332993
8194,755,25237,39244,25251,39190,[],1764733964.4334948
8194,755,25232,39235,25251,39206,[],1764733964.5340016
8194,756,25232,39235,25251,39175,[],1764733964.6344826
8196,756,25232,39212,25246,39188,[],1764733964.7354019
8196,756,25232,39220,25246,39164,[],1764733964.8367012
8196,756,25232,39242,25251,39197,[],1764733964.9379911
8194,755,25232,39235,25262,39200,[],1764733965.0391788
8196,755,25232,39256,25251,39190,[],1764733965.1408463
8196,756,25237,39221,25251,39190,[],1764733965.2421756
8197,756,25237,39236,25251,39175,[],1764733965.3432767
8194,756,25232,39256,25256,39167,[],1764733965.4445388
8196,756,25237,39221,25256,39184,[],1764733965.5457468
8196,756,25226,39241,25256,39176,[],1764733965.6463158
8194,755,25242,39202,25256,39160,[],1764733965.7476666
8197,756,25232,39250,25246,39148,[],1764733965.848708
8194,756,25237,39200,25256,39191,[],1764733965.9499395
8196,756,25237,39244,25256,39160,[],1764733966.0511537
8196,755,25242,39230,25256,39176,[],1764733966.1519148
8194,755,25237,39208,25256,39184,[],1764733966.253086
8194,755,25232,39212,25256,39167,[],1764733966.3542118
8196,756,25232,39235,25251,39166,[],1764733966.4555638
8194,756,25242,39238,25246,39155,[],1764733966.5569386
8193,756,25242,39230,25256,39191,[],1764733966.6582165
8194,755,25242,39223,25246,39235,[],1764733966.759437
8197,755,25242,39230,25256,39176,[],1764733966.8606522
8194,755,25247,39218,25256,39160,[],1764733966.9616911
8196,755,25237,39178,25256,39134,[],1764733967.0623739
8196,756,25247,39232,25262,39178,[],1764733967.163726
8196,755,25232,39206,25256,39184,[],1764733967.264954
8196,755,25237,39193,25267,39179,[],1764733967.366337
8196,756,25242,39223,25251,39182,[],1764733967.4676225
8196,755,25247,39239,25262,39154,[],1764733967.5688615
8194,755,25237,39221,25256,39176,[],1764733967.6701372
8196,756,25242,39194,25262,39145,[],1764733967.7714968
8196,756,25247,39211,25262,39185,[],1764733967.8727422
8196,756,25242,39223,25256,39167,[],1764733967.9744782
8196,756,25237,39221,25256,39167,[],1764733968.0758545
8196,755,25242,39217,25256,39160,[],1764733968.177169
8196,755,25237,39193,25256,39176,[],1764733968.2783005
8197,756,25247,39203,25256,39142,[],1764733968.3795686
8196,756,25237,39229,25256,39110,[],1764733968.4808576
8196,756,25247,39211,25262,39154,[],1764733968.5817142
8196,756,25237,39185,25262,39161,[],1764733968.683966
8194,756,25242,39179,25256,39191,[],1764733968.7851784
8196,756,25237,39170,25256,39167,[],1764733968.8864775
